well,colony_id
A1,standard_1
A2,standard_1
A3,standard_2
A4,standard_2
A5,standard_3
A6,standard_3
A7,standard_4
A8,standard_4
A9,standard_5
A10,standard_5
A11,standard_6
A12,standard_6
B1,standard_7
B2,standard_7
B3,standard_8
B4,standard_8
B5,standard_9
B6,standard_9
B7,standard_10
B8,standard_10
B9,G5-B2-186
B10,G5-B2-186
B11,S4-B3-192
B12,S4-B3-192
C1,G2-B4-202
C2,G2-B4-202
C3,S1-B4-208
C4,S1-B4-208
C5,D1-C1-209
C6,D1-C1-209
C7,S1-C4-211
C8,S1-C4-211
C9,S5-C4-213
C10,S5-C4-213
C11,D4-B3-214
C12,D4-B3-214
D1,D5-C4-217
D2,D5-C4-217
D3,G5-C2-221
D4,G5-C2-221
D5,D1-C4-222
D6,D1-C4-222
D7,S1-B2-224
D8,S1-B2-224
D9,D1-B1-226
D10,D1-B1-226
D11,G1-C4-231
D12,G1-C4-231
E1,G4-B2-232
E2,G4-B2-232
E3,S1-C2-233
E4,S1-C2-233
E5,NA
E6,NA
E7,NA
E8,NA
E9,NA
E10,NA
E11,NA
E12,NA
F1,NA
F2,NA
F3,NA
F4,NA
F5,NA
F6,NA
F7,NA
F8,NA
F9,NA
F10,NA
F11,NA
F12,NA
G1,NA
G2,NA
G3,NA
G4,NA
G5,NA
G6,NA
G7,NA
G8,NA
G9,NA
G10,NA
G11,NA
G12,NA
H1,NA
H2,NA
H3,NA
H4,NA
H5,NA
H6,NA
H7,NA
H8,NA
H9,NA
H10,NA
H11,NA
H12,NA
