Software Version,3.03.14,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
Experiment File Path:,C:\Users\synergy\Desktop\T.Lindsay\TLAP_AO_00s_Cu.xpt,,,,,,,,,,,,
Protocol File Path:,C:\Users\Public\Documents\Protocols\TL_Antioxidants.prt,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
Plate Number,Plate 1,,,,,,,,,,,,
Date,12/13/23,,,,,,,,,,,,
Time,10:19:06 AM,,,,,,,,,,,,
Reader Type:,Synergy HTX,,,,,,,,,,,,
Reader Serial Number:,18041123,,,,,,,,,,,,
Reading Type,Reader,,,,,,,,,,,,
,,,,,,,,,,,,,
Procedure Details,,,,,,,,,,,,,
,,,,,,,,,,,,,
Plate Type,96 WELL PLATE,,,,,,,,,,,,
Eject plate on completion,,,,,,,,,,,,,
Read,Absorbance Endpoint,,,,,,,,,,,,
,Full Plate,,,,,,,,,,,,
,Wavelengths:  490,,,,,,,,,,,,
,"Read Speed: Normal,  Delay: 100 msec,  Measurements/Data Point: 8",,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
Actual Temperature:,21.9,,,,,,,,,,,,
,,,,,,,,,,,,,
Results,,,,,,,,,,,,,
,1,2,3,4,5,6,7,8,9,10,11,12,
A,0.579,0.708,0.393,0.414,0.227,0.229,0.139,0.14,0.1,0.1,0.078,0.084,490
B,0.068,0.07,0.062,0.061,0.06,0.06,0.056,0.058,0.369,0.364,0.304,0.205,490
C,0.149,0.158,0.263,0.362,0.134,0.132,0.295,0.348,0.203,0.211,0.51,0.567,490
D,0.385,0.377,0.241,0.196,0.248,0.283,0.176,0.177,0.195,0.191,0.623,0.571,490
E,0.344,0.375,0.434,0.503,0.197,0.202,0.212,0.214,0.284,0.459,0.233,0.268,490
F,0.243,0.23,0.281,0.305,0.428,0.459,0.306,0.297,0.32,0.328,0.332,0.365,490
G,0.513,0.564,0.754,0.707,0.515,0.535,0.377,0.487,0.424,0.413,0.489,0.501,490
H,0.522,0.594,0.676,0.61,0.482,0.685,0.588,0.629,0.558,0.59,0.737,0.764,490
