well,sample_id
A1,standard_1
A2,standard_1
A3,standard_2
A4,standard_2
A5,standard_3
A6,standard_3
A7,standard_4
A8,standard_4
A9,standard_5
A10,standard_5
A11,standard_6
A12,standard_6
B1,standard_7
B2,standard_7
B3,standard_8
B4,standard_8
B5,standard_9
B6,standard_9
B7,standard_10
B8,standard_10
B9,D4-C2-1
B10,D4-C2-1
B11,D1-B2-2
B12,D1-B2-2
C1,S5-B3-4
C2,S5-B3-4
C3,D5-C1-7
C4,D5-C1-7
C5,S1-B1-9
C6,S1-B1-9
C7,D5-B2-11
C8,D5-B2-11
C9,G4-B4-12
C10,G4-B4-12
C11,D2-C2-15
C12,D2-C2-15
D1,G4-B1-17
D2,G4-B1-17
D3,S1-B3-18
D4,S1-B3-18
D5,G5-B3-19
D6,G5-B3-19
D7,G1-B3-24
D8,G1-B3-24
D9,G1-B1-26
D10,G1-B1-26
D11,D2-B2-30
D12,D2-B2-30
E1,D1-B4-32
E2,D1-B4-32
E3,D2-C1-36
E4,D2-C1-36
E5,G5-C4-41
E6,G5-C4-41
E7,G4-C2-42
E8,G4-C2-42
E9,S5-C3-45
E10,S5-C3-45
E11,S4-C3-47
E12,S4-C3-47
F1,G5-C1-49
F2,G5-C1-49
F3,G1-C2-50
F4,G1-C2-50
F5,D5-B4-53
F6,D5-B4-53
F7,G5-C3-56
F8,G5-C3-56
F9,G2-C4-57
F10,G2-C4-57
F11,S5-B2-63
F12,S5-B2-63
G1,D5-B3-64
G2,D5-B3-64
G3,D4-C1-65
G4,D4-C1-65
G5,G5-B4-67
G6,G5-B4-67
G7,D4-B4-70
G8,D4-B4-70
G9,G4-C3-72
G10,G4-C3-72
G11,S5-C1-74
G12,S5-C1-74
H1,G2-C1-84
H2,G2-C1-84
H3,S2-C3-86
H4,S2-C3-86
H5,D2-B1-91
H6,D2-B1-91
H7,S2-C4-97
H8,S2-C4-97
H9,D5-C3-168
H10,D5-C3-168
H11,S5-C2-169
H12,S5-C2-169
