well,sample_id
A1,standard_1
A2,standard_1
A3,standard_2
A4,standard_2
A5,standard_3
A6,standard_3
A7,standard_4
A8,standard_4
A9,standard_5
A10,standard_5
A11,standard_6
A12,standard_6
B1,standard_7
B2,standard_7
B3,standard_8
B4,standard_8
B5,standard_9
B6,standard_9
B7,standard_10
B8,standard_10
B9,D2-D4-5
B10,D2-D4-5
B11,G4-D1-6
B12,G4-D1-6
C1,D1-A3-8
C2,D1-A3-8
C3,G1-D2-13
C4,G1-D2-13
C5,G5-A4-14
C6,G5-A4-14
C7,G1-D1-22
C8,G1-D1-22
C9,D2-D3-23
C10,D2-D3-23
C11,G5-D3-25
C12,G5-D3-25
D1,S1-A2-29
D2,S1-A2-29
D3,S5-A4-31
D4,S5-A4-31
D5,G5-D2-33
D6,G5-D2-33
D7,G2-D4-34
D8,G2-D4-34
D9,D5-A1-39
D10,D5-A1-39
D11,G4-D4-40
D12,G4-D4-40
E1,S4-A2-43
E2,S4-A2-43
E3,S2-A2-44
E4,S2-A2-44
E5,S4-A4-51
E6,S4-A4-51
E7,D1-D2-54
E8,D1-D2-54
E9,S1-D4-55
E10,S1-D4-55
E11,D4-A2-60
E12,D4-A2-60
F1,S1-D1-61
F2,S1-D1-61
F3,S2-A3-62
F4,S2-A3-62
F5,D1-A2-68
F6,D1-A2-68
F7,G2-A2-73
F8,G2-A2-73
F9,G1-D4-78
F10,G1-D4-78
F11,D2-A1-79
F12,D2-A1-79
G1,S2-D2-81
G2,S2-D2-81
G3,G1-D3-82
G4,G1-D3-82
G5,S5-A1-83
G6,S5-A1-83
G7,D5-D2-87
G8,D5-D2-87
G9,S5-D2-88
G10,S5-D2-88
G11,S1-A1-89
G12,S1-A1-89
H1,D4-D4-90
H2,D4-D4-90
H3,D1-D3-95
H4,D1-D3-95
H5,S1-D2-96
H6,S1-D2-96
H7,G5-D1-99
H8,G5-D1-99
H9,S2-D4-102
H10,S2-D4-102
H11,G5-A1-107
H12,G5-A1-107
