Software Version,3.03.14,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
Experiment File Path:,C:\Users\synergy\Desktop\T.Lindsay\TLAP_AO_B100s_buffer.xpt,,,,,,,,,,,,
Protocol File Path:,C:\Users\Public\Documents\Protocols\TL_Antioxidants.prt,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
Plate Number,Plate 1,,,,,,,,,,,,
Date,1/19/24,,,,,,,,,,,,
Time,9:58:55 AM,,,,,,,,,,,,
Reader Type:,Synergy HTX,,,,,,,,,,,,
Reader Serial Number:,18041123,,,,,,,,,,,,
Reading Type,Reader,,,,,,,,,,,,
,,,,,,,,,,,,,
Procedure Details,,,,,,,,,,,,,
,,,,,,,,,,,,,
Plate Type,96 WELL PLATE,,,,,,,,,,,,
Eject plate on completion,,,,,,,,,,,,,
Read,Absorbance Endpoint,,,,,,,,,,,,
,Full Plate,,,,,,,,,,,,
,Wavelengths:  490,,,,,,,,,,,,
,"Read Speed: Normal,  Delay: 100 msec,  Measurements/Data Point: 8",,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
Actual Temperature:,23.7,,,,,,,,,,,,
,,,,,,,,,,,,,
Results,,,,,,,,,,,,,
,1,2,3,4,5,6,7,8,9,10,11,12,
A,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.041,0.04,0.04,0.041,490
B,0.048,0.04,0.04,0.041,0.041,0.04,0.04,0.041,0.069,0.069,0.063,0.063,490
C,0.188,0.137,0.328,0.39,0.325,0.28,0.062,0.064,0.091,0.092,0.106,0.104,490
D,0.104,0.138,0.09,0.079,0.083,0.07,0.071,0.071,0.078,0.072,0.054,0.055,490
E,0.061,0.059,0.071,0.063,0.296,0.18,0.077,0.079,0.07,0.069,0.076,0.071,490
F,0.083,0.073,0.14,0.209,0.128,0.178,0.251,0.192,0.077,0.071,0.077,0.078,490
G,0.109,0.076,0.086,0.088,0.086,0.253,0.107,0.103,0.085,0.098,0.068,0.072,490
H,0.111,0.169,0.055,0.055,0.103,0.132,0.083,0.084,0.094,0.121,0.064,0.075,490
