well,colony_id
A1,standard_1
A2,standard_1
A3,standard_2
A4,standard_2
A5,standard_3
A6,standard_3
A7,standard_4
A8,standard_4
A9,standard_5
A10,standard_5
A11,standard_6
A12,standard_6
B1,standard_7
B2,standard_7
B3,standard_8
B4,standard_8
B5,standard_9
B6,standard_9
B7,standard_10
B8,standard_10
B9,D2-B4-100
B10,D2-B3-103
B11,S2-B2-104
B12,S4-C2-105
C1,G2-B1-106
C2,D5-B1-108
C3,G2-B3-109
C4,D4-C4-110
C5,D1-C3-114
C6,G1-C1-118
C7,S2-B1-120
C8,D5-C2-121
C9,S4-B1-122
C10,G1-C3-125
C11,G5-B1-127
C12,D2-C3-128
D1,S5-B4-133
D2,G4-C4-134
D3,D4-B1-137
D4,S4-C4-141
D5,D2-C4-145
D6,S1-C3-146
D7,S4-B4-147
D8,S4-B2-149
D9,S2-C2-150
D10,G1-B2-152
D11,G2-B2-153
D12,G4-B3-155
E1,S4-C1-156
E2,G2-C2-157
E3,S2-C1-158
E4,G4-C1-162
E5,D5-C3-168
E6,S5-C2-169
E7,S5-B1-171
E8,G2-C3-172
E9,S1-C1-173
E10,S2-B4-178
E11,D1-C2-184
E12,D4-C3-185
F1,G5-B2-186
F2,S4-B3-192
F3,G2-B4-202
F4,S1-B4-208
F5,D1-C1-209
F6,S1-C4-211
F7,S5-C4-213
F8,D4-B3-214
F9,D5-C4-217
F10,G5-C2-221
F11,D1-C4-222
F12,S1-B2-224
G1,D1-B1-226
G2,G1-C4-231
G3,G4-B2-232
G4,S1-C2-233
G5,NA
G6,NA
G7,NA
G8,NA
G9,NA
G10,NA
G11,NA
G12,NA
H1,NA
H2,NA
H3,NA
H4,NA
H5,NA
H6,NA
H7,NA
H8,NA
H9,NA
H10,NA
H11,NA
H12,NA
