Software Version,3.03.14,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
Experiment File Path:,C:\Users\synergy\Desktop\T.Lindsay\TL_Antioxidants_Practice_Buffer.xpt,,,,,,,,,,,,
Protocol File Path:,C:\Users\Public\Documents\Protocols\TL_Antioxidants.prt,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
Plate Number,Plate 1,,,,,,,,,,,,
Date,12/1/23,,,,,,,,,,,,
Time,10:15:29 AM,,,,,,,,,,,,
Reader Type:,Synergy HTX,,,,,,,,,,,,
Reader Serial Number:,18041123,,,,,,,,,,,,
Reading Type,Reader,,,,,,,,,,,,
,,,,,,,,,,,,,
Procedure Details,,,,,,,,,,,,,
,,,,,,,,,,,,,
Plate Type,96 WELL PLATE,,,,,,,,,,,,
Eject plate on completion,,,,,,,,,,,,,
Read,Absorbance Endpoint,,,,,,,,,,,,
,Full Plate,,,,,,,,,,,,
,Wavelengths:  490,,,,,,,,,,,,
,"Read Speed: Normal,  Delay: 100 msec,  Measurements/Data Point: 8",,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
Actual Temperature:,22.7,,,,,,,,,,,,
,,,,,,,,,,,,,
Results,,,,,,,,,,,,,
,1,2,3,4,5,6,7,8,9,10,11,12,
A,0.04,0.04,0.041,0.045,0.04,0.041,0.04,0.041,0.04,0.04,0.04,0.043,490
B,0.041,0.041,0.041,0.041,0.04,0.04,0.04,0.041,0.062,0.064,0.067,0.066,490
C,0.154,0.185,0.102,0.089,0.047,0.045,0.046,0.046,0.047,0.046,0.047,0.045,490
D,0.045,0.046,0.045,0.045,0.046,0.047,0.046,0.045,0.046,0.045,0.045,0.045,490
E,0.046,0.046,0.045,0.046,0.045,0.046,0.046,0.045,0.046,0.045,0.046,0.046,490
F,0.045,0.046,0.045,0.045,0.046,0.046,0.046,0.045,0.046,0.046,0.047,0.045,490
G,0.049,0.045,0.046,0.048,0.046,0.045,0.045,0.046,0.046,0.047,0.046,0.048,490
H,0.046,0.046,0.045,0.049,0.046,0.045,0.045,0.046,0.045,0.045,0.045,0.048,490
