Software Version,3.03.14,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
Experiment File Path:,C:\Users\synergy\Desktop\T.Lindsay\TL_Antioxidants_Practice_Cu.xpt,,,,,,,,,,,,
Protocol File Path:,C:\Users\Public\Documents\Protocols\TL_Antioxidants.prt,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
Plate Number,Plate 1,,,,,,,,,,,,
Date,12/1/23,,,,,,,,,,,,
Time,10:30:31 AM,,,,,,,,,,,,
Reader Type:,Synergy HTX,,,,,,,,,,,,
Reader Serial Number:,18041123,,,,,,,,,,,,
Reading Type,Reader,,,,,,,,,,,,
,,,,,,,,,,,,,
Procedure Details,,,,,,,,,,,,,
,,,,,,,,,,,,,
Plate Type,96 WELL PLATE,,,,,,,,,,,,
Eject plate on completion,,,,,,,,,,,,,
Read,Absorbance Endpoint,,,,,,,,,,,,
,Full Plate,,,,,,,,,,,,
,Wavelengths:  490,,,,,,,,,,,,
,"Read Speed: Normal,  Delay: 100 msec,  Measurements/Data Point: 8",,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
Actual Temperature:,23,,,,,,,,,,,,
,,,,,,,,,,,,,
Results,,,,,,,,,,,,,
,1,2,3,4,5,6,7,8,9,10,11,12,
A,0.579,0.708,0.393,0.414,0.227,0.229,0.139,0.14,0.1,0.1,0.078,0.084,490
B,0.068,0.07,0.062,0.061,0.06,0.06,0.056,0.058,0.161,0.152,0.166,0.175,490
C,0.201,0.194,0.343,0.41,0.047,0.045,0.046,0.046,0.047,0.051,0.046,0.045,490
D,0.045,0.046,0.045,0.045,0.045,0.047,0.045,0.045,0.045,0.045,0.046,0.046,490
E,0.046,0.046,0.046,0.046,0.045,0.046,0.046,0.045,0.046,0.045,0.047,0.046,490
F,0.045,0.047,0.045,0.045,0.048,0.052,0.046,0.047,0.05,0.046,0.047,0.047,490
G,0.049,0.046,0.046,0.047,0.046,0.045,0.045,0.046,0.046,0.047,0.046,0.047,490
H,0.047,0.046,0.046,0.05,0.046,0.045,0.045,0.046,0.046,0.045,0.046,0.052,490
