Software Version,3.03.14,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
Experiment File Path:,C:\Users\synergy\Desktop\T.Lindsay\TLAP_CHL_12092023_100s.txt,,,,,,,,,,,,
Protocol File Path:,C:\Users\Public\Documents\Protocols\KW_Chlorophyll.prt,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
Plate Number,Plate 1,,,,,,,,,,,,
Date,12/9/23,,,,,,,,,,,,
Time,11:53:06 AM,,,,,,,,,,,,
Reader Type:,Synergy HTX,,,,,,,,,,,,
Reader Serial Number:,18041123,,,,,,,,,,,,
Reading Type,Reader,,,,,,,,,,,,
,,,,,,,,,,,,,
Procedure Details,,,,,,,,,,,,,
,,,,,,,,,,,,,
Plate Type,96 WELL PLATE,,,,,,,,,,,,
Eject plate on completion,,,,,,,,,,,,,
Read,Chl,,,,,,,,,,,,
,Absorbance Endpoint,,,,,,,,,,,,
,Full Plate,,,,,,,,,,,,
,"Wavelengths:  630, 663, 750",,,,,,,,,,,,
,"Read Speed: Normal,  Delay: 100 msec,  Measurements/Data Point: 8",,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
Actual Temperature:,22.6,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
Actual Temperature:,22.6,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
Actual Temperature:,22.6,,,,,,,,,,,,
,,,,,,,,,,,,,
Results,,,,,,,,,,,,,
,1,2,3,4,5,6,7,8,9,10,11,12,
A,0.03,0.03,0.029,0.031,0.03,0.034,0.035,0.036,0.035,0.04,0.045,0.051,Chl:630
,0.031,0.029,0.029,0.031,0.032,0.035,0.054,0.056,0.051,0.057,0.093,0.103,Chl:663
,0.03,0.03,0.029,0.031,0.031,0.033,0.03,0.03,0.03,0.035,0.03,0.034,Chl:750
B,0.032,0.032,0.058,0.061,0.041,0.035,0.037,0.034,0.033,0.034,0.034,0.034,Chl:630
,0.037,0.036,0.15,0.165,0.05,0.043,0.04,0.041,0.043,0.043,0.043,0.044,Chl:663
,0.031,0.03,0.033,0.032,0.037,0.032,0.034,0.032,0.032,0.03,0.031,0.03,Chl:750
C,0.038,0.044,0.034,0.035,0.048,0.05,0.036,0.038,0.034,0.034,0.039,0.04,Chl:630
,0.057,0.066,0.041,0.043,0.112,0.12,0.057,0.061,0.043,0.044,0.06,0.063,Chl:663
,0.031,0.037,0.031,0.031,0.03,0.031,0.03,0.032,0.032,0.031,0.032,0.033,Chl:750
D,0.052,0.052,0.031,0.033,0.036,0.037,0.032,0.05,0.056,0.045,0.036,0.035,Chl:630
,0.104,0.109,0.032,0.037,0.063,0.066,0.037,0.052,0.087,0.086,0.048,0.049,Chl:663
,0.035,0.033,0.031,0.039,0.03,0.03,0.03,0.043,0.036,0.032,0.031,0.031,Chl:750
E,0.039,0.04,0.04,0.04,0.057,0.057,0.047,0.046,0.036,0.038,0.038,0.04,Chl:630
,0.068,0.073,0.059,0.061,0.141,0.148,0.09,0.094,0.055,0.06,0.064,0.069,Chl:663
,0.031,0.032,0.035,0.033,0.032,0.029,0.034,0.031,0.03,0.031,0.03,0.032,Chl:750
F,0.059,0.069,0.038,0.041,0.059,0.06,0.038,0.032,0.052,0.046,0.032,0.037,Chl:630
,0.161,0.178,0.061,0.067,0.135,0.143,0.04,0.041,0.095,0.095,0.037,0.039,Chl:663
,0.031,0.031,0.031,0.033,0.033,0.031,0.034,0.03,0.038,0.031,0.032,0.033,Chl:750
G,0.062,0.066,0.039,0.043,0.039,0.041,0.032,0.032,0.033,0.033,0.036,0.036,Chl:630
,0.203,0.22,0.052,0.057,0.074,0.079,0.033,0.033,0.043,0.046,0.051,0.054,Chl:663
,0.029,0.031,0.034,0.036,0.03,0.031,0.031,0.032,0.029,0.029,0.03,0.03,Chl:750
H,0.035,0.039,0.029,0.028,0.028,0.031,0.029,0.029,0.029,0.029,0.029,0.031,Chl:630
,0.049,0.055,0.029,0.028,0.028,0.031,0.029,0.028,0.029,0.029,0.028,0.03,Chl:663
,0.03,0.034,0.029,0.028,0.028,0.03,0.028,0.028,0.029,0.029,0.028,0.03,Chl:750
