well,sample_id
A1,BK
A2,BK
A3,G2-B4-202
A4,G2-B4-202
A5,S1-B4-208
A6,S1-B4-208
A7,D1-C1-209
A8,D1-C1-209
A9,S1-C4-211
A10,S1-C4-211
A11,S5-C4-213
A12,S5-C4-213
B1,D4-B3-214
B2,D4-B3-214
B3,D5-C4-217
B4,D5-C4-217
B5,G5-C2-221
B6,G5-C2-221
B7,D1-C4-222
B8,D1-C4-222
B9,S1-B2-224
B10,S1-B2-224
B11,D1-B1-226
B12,D1-B1-226
C1,G1-C4-231
C2,G1-C4-231
C3,G4-B2-232
C4,G4-B2-232
C5,S1-C2-233
C6,S1-C2-233
C7,NA
C8,NA
C9,NA
C10,NA
C11,NA
C12,NA
D1,NA
D2,NA
D3,NA
D4,NA
D5,NA
D6,NA
D7,NA
D8,NA
D9,NA
D10,NA
D11,NA
D12,NA
E1,NA
E2,NA
E3,NA
E4,NA
E5,NA
E6,NA
E7,NA
E8,NA
E9,NA
E10,NA
E11,NA
E12,NA
F1,NA
F2,NA
F3,NA
F4,NA
F5,NA
F6,NA
F7,NA
F8,NA
F9,NA
F10,NA
F11,NA
F12,NA
G1,NA
G2,NA
G3,NA
G4,NA
G5,NA
G6,NA
G7,NA
G8,NA
G9,NA
G10,NA
G11,NA
G12,NA
H1,NA
H2,NA
H3,NA
H4,NA
H5,NA
H6,NA
H7,NA
H8,NA
H9,NA
H10,NA
H11,NA
H12,NA
