Plot Title: 21741107-A,,,,,,,
#,"Date Time, GMT-04:00","Temp, °F (LGR S/N: 21741107, SEN S/N: 21741107)","Intensity, lum/ft² (LGR S/N: 21741107, SEN S/N: 21741107)",Coupler Attached (LGR S/N: 21741107),Host Connected (LGR S/N: 21741107),Stopped (LGR S/N: 21741107),End Of File (LGR S/N: 21741107)
1,7/5/23 10:30,88.466,240,,,,
2,7/5/23 10:45,112.023,416,,,,
3,7/5/23 11:00,74.964,107,,,,
4,7/5/23 11:15,65.851,1,,,,
5,7/5/23 11:30,65.851,69,,,,
6,7/5/23 11:45,65.68,96,,,,
7,7/5/23 12:00,67.05,104,,,,
8,7/5/23 12:15,68.248,111,,,,
9,7/5/23 12:30,68.248,126,,,,
10,7/5/23 12:45,68.421,108,,,,
11,7/5/23 13:00,67.564,94,,,,
12,7/5/23 13:15,67.05,94,,,,
13,7/5/23 13:30,67.05,127,,,,
14,7/5/23 13:45,67.906,144,,,,
15,7/5/23 14:00,68.763,152,,,,
16,7/5/23 14:15,68.934,168,,,,
17,7/5/23 14:30,68.934,184,,,,
18,7/5/23 14:45,69.107,200,,,,
19,7/5/23 15:00,69.622,160,,,,
20,7/5/23 15:15,70.308,128,,,,
21,7/5/23 15:30,69.964,114,,,,
22,7/5/23 15:45,70.308,111,,,,
23,7/5/23 16:00,70.308,95,,,,
24,7/5/23 16:15,70.824,87,,,,
25,7/5/23 16:30,70.137,67,,,,
26,7/5/23 16:45,70.137,50,,,,
27,7/5/23 17:00,68.248,41,,,,
28,7/5/23 17:15,67.05,14,,,,
29,7/5/23 17:30,67.906,36,,,,
30,7/5/23 17:45,71.339,28,,,,
31,7/5/23 18:00,70.824,18,,,,
32,7/5/23 18:15,70.137,16,,,,
33,7/5/23 18:30,69.793,13,,,,
34,7/5/23 18:45,69.449,8,,,,
35,7/5/23 19:00,69.107,4,,,,
36,7/5/23 19:15,68.934,4,,,,
37,7/5/23 19:30,69.107,2,,,,
38,7/5/23 19:45,69.107,1,,,,
39,7/5/23 20:00,69.278,0,,,,
40,7/5/23 20:15,66.708,0,,,,
41,7/5/23 20:30,67.221,0,,,,
42,7/5/23 20:45,67.05,0,,,,
43,7/5/23 21:00,66.879,0,,,,
44,7/5/23 21:15,66.879,0,,,,
45,7/5/23 21:30,66.708,0,,,,
46,7/5/23 21:45,66.708,0,,,,
47,7/5/23 22:00,67.05,0,,,,
48,7/5/23 22:15,68.421,0,,,,
49,7/5/23 22:30,68.934,0,,,,
50,7/5/23 22:45,69.107,0,,,,
51,7/5/23 23:00,69.107,0,,,,
52,7/5/23 23:15,66.708,0,,,,
53,7/5/23 23:30,66.193,0,,,,
54,7/5/23 23:45,66.193,0,,,,
55,7/6/23 0:00,67.221,0,,,,
56,7/6/23 0:15,66.193,0,,,,
57,7/6/23 0:30,66.537,0,,,,
58,7/6/23 0:45,68.077,0,,,,
59,7/6/23 1:00,68.077,0,,,,
60,7/6/23 1:15,67.05,0,,,,
61,7/6/23 1:30,67.735,0,,,,
62,7/6/23 1:45,67.221,0,,,,
63,7/6/23 2:00,67.221,0,,,,
64,7/6/23 2:15,67.392,0,,,,
65,7/6/23 2:30,67.564,0,,,,
66,7/6/23 2:45,67.735,0,,,,
67,7/6/23 3:00,67.564,0,,,,
68,7/6/23 3:15,67.735,0,,,,
69,7/6/23 3:30,67.564,0,,,,
70,7/6/23 3:45,67.564,0,,,,
71,7/6/23 4:00,67.735,0,,,,
72,7/6/23 4:15,68.248,0,,,,
73,7/6/23 4:30,68.421,0,,,,
74,7/6/23 4:45,67.564,0,,,,
75,7/6/23 5:00,67.392,0,,,,
76,7/6/23 5:15,67.392,0,,,,
77,7/6/23 5:30,67.564,0,,,,
78,7/6/23 5:45,67.735,1,,,,
79,7/6/23 6:00,67.906,3,,,,
80,7/6/23 6:15,68.248,6,,,,
81,7/6/23 6:30,68.421,8,,,,
82,7/6/23 6:45,68.763,9,,,,
83,7/6/23 7:00,68.763,11,,,,
84,7/6/23 7:15,68.934,14,,,,
85,7/6/23 7:30,68.592,12,,,,
86,7/6/23 7:45,66.879,15,,,,
87,7/6/23 8:00,67.221,18,,,,
88,7/6/23 8:15,67.05,20,,,,
89,7/6/23 8:30,66.708,18,,,,
90,7/6/23 8:45,66.537,19,,,,
91,7/6/23 9:00,66.708,17,,,,
92,7/6/23 9:15,66.708,16,,,,
93,7/6/23 9:30,66.708,17,,,,
94,7/6/23 9:45,66.708,23,,,,
95,7/6/23 10:00,66.537,29,,,,
96,7/6/23 10:15,66.708,34,,,,
97,7/6/23 10:30,67.05,44,,,,
98,7/6/23 10:45,66.193,46,,,,
99,7/6/23 11:00,67.221,63,,,,
100,7/6/23 11:15,67.735,94,,,,
101,7/6/23 11:30,68.077,103,,,,
102,7/6/23 11:45,66.193,91,,,,
103,7/6/23 12:00,66.537,98,,,,
104,7/6/23 12:15,66.537,107,,,,
105,7/6/23 12:30,66.022,97,,,,
106,7/6/23 12:45,66.022,119,,,,
107,7/6/23 13:00,66.022,116,,,,
108,7/6/23 13:15,66.366,136,,,,
109,7/6/23 13:30,66.366,122,,,,
110,7/6/23 13:45,67.906,115,,,,
111,7/6/23 14:00,67.735,104,,,,
112,7/6/23 14:15,67.906,102,,,,
