"Plot Title: 21741109-B"
"#","Date Time, GMT-04:00","Temp, °F (LGR S/N: 21741109, SEN S/N: 21741109)","Intensity, lum/ft² (LGR S/N: 21741109, SEN S/N: 21741109)","Coupler Attached (LGR S/N: 21741109)","Host Connected (LGR S/N: 21741109)","Stopped (LGR S/N: 21741109)","End Of File (LGR S/N: 21741109)"
1,06/20/23 08:00:00 AM,70.308,28.0,,,,
2,06/20/23 08:15:00 AM,70.480,30.0,,,,
3,06/20/23 08:30:00 AM,70.651,24.0,,,,
4,06/20/23 08:45:00 AM,70.824,30.0,,,,
5,06/20/23 09:00:00 AM,72.199,0.0,,,,
6,06/20/23 09:15:00 AM,73.580,0.0,,,,
7,06/20/23 09:30:00 AM,77.400,608.0,,,,
8,06/20/23 09:45:00 AM,78.975,2.0,,,,
9,06/20/23 10:00:00 AM,78.449,864.0,,,,
10,06/20/23 10:15:00 AM,85.915,896.0,,,,
11,06/20/23 10:30:00 AM,63.626,20.0,,,,
12,06/20/23 10:45:00 AM,63.626,4.0,,,,
13,06/20/23 11:00:00 AM,63.626,39.0,,,,
14,06/20/23 11:15:00 AM,63.968,40.0,,,,
15,06/20/23 11:30:00 AM,63.626,34.0,,,,
16,06/20/23 11:45:00 AM,63.626,45.0,,,,
17,06/20/23 12:00:00 PM,63.111,54.0,,,,
18,06/20/23 12:15:00 PM,62.769,39.0,,,,
19,06/20/23 12:30:00 PM,62.769,46.0,,,,
20,06/20/23 12:45:00 PM,62.425,52.0,,,,
21,06/20/23 01:00:00 PM,62.598,57.0,,,,
22,06/20/23 01:15:00 PM,63.455,57.0,,,,
23,06/20/23 01:30:00 PM,63.968,57.0,,,,
24,06/20/23 01:45:00 PM,63.626,66.0,,,,
25,06/20/23 02:00:00 PM,63.282,67.0,,,,
26,06/20/23 02:15:00 PM,63.282,57.0,,,,
27,06/20/23 02:30:00 PM,63.626,72.0,,,,
28,06/20/23 02:45:00 PM,64.139,49.0,,,,
29,06/20/23 03:00:00 PM,64.652,69.0,,,,
30,06/20/23 03:15:00 PM,64.652,49.0,,,,
31,06/20/23 03:30:00 PM,64.310,52.0,,,,
32,06/20/23 03:45:00 PM,64.310,44.0,,,,
33,06/20/23 04:00:00 PM,64.652,20.0,,,,
34,06/20/23 04:15:00 PM,64.996,14.0,,,,
35,06/20/23 04:30:00 PM,64.481,19.0,,,,
36,06/20/23 04:45:00 PM,64.310,23.0,,,,
37,06/20/23 05:00:00 PM,62.598,15.0,,,,
38,06/20/23 05:15:00 PM,62.254,11.0,,,,
39,06/20/23 05:30:00 PM,62.254,10.0,,,,
40,06/20/23 05:45:00 PM,62.254,10.0,,,,
41,06/20/23 06:00:00 PM,62.598,10.0,,,,
42,06/20/23 06:15:00 PM,62.940,10.0,,,,
43,06/20/23 06:30:00 PM,63.626,2.0,,,,
44,06/20/23 06:45:00 PM,63.626,1.0,,,,
45,06/20/23 07:00:00 PM,63.797,1.0,,,,
46,06/20/23 07:15:00 PM,63.797,1.0,,,,
47,06/20/23 07:30:00 PM,63.968,0.0,,,,
48,06/20/23 07:45:00 PM,64.139,0.0,,,,
49,06/20/23 08:00:00 PM,64.310,0.0,,,,
50,06/20/23 08:15:00 PM,64.310,0.0,,,,
51,06/20/23 08:30:00 PM,64.310,0.0,,,,
52,06/20/23 08:45:00 PM,64.310,0.0,,,,
53,06/20/23 09:00:00 PM,64.310,0.0,,,,
54,06/20/23 09:15:00 PM,64.139,0.0,,,,
55,06/20/23 09:30:00 PM,63.797,0.0,,,,
56,06/20/23 09:45:00 PM,63.797,0.0,,,,
57,06/20/23 10:00:00 PM,63.626,0.0,,,,
58,06/20/23 10:15:00 PM,63.626,0.0,,,,
59,06/20/23 10:30:00 PM,63.797,0.0,,,,
60,06/20/23 10:45:00 PM,63.797,0.0,,,,
61,06/20/23 11:00:00 PM,63.797,0.0,,,,
62,06/20/23 11:15:00 PM,63.626,0.0,,,,
63,06/20/23 11:30:00 PM,63.626,0.0,,,,
64,06/20/23 11:45:00 PM,63.626,0.0,,,,
65,06/21/23 12:00:00 AM,63.626,0.0,,,,
66,06/21/23 12:15:00 AM,63.455,0.0,,,,
67,06/21/23 12:30:00 AM,63.626,0.0,,,,
68,06/21/23 12:45:00 AM,63.797,0.0,,,,
69,06/21/23 01:00:00 AM,63.797,0.0,,,,
70,06/21/23 01:15:00 AM,63.797,0.0,,,,
71,06/21/23 01:30:00 AM,63.797,0.0,,,,
72,06/21/23 01:45:00 AM,63.797,0.0,,,,
73,06/21/23 02:00:00 AM,63.797,0.0,,,,
74,06/21/23 02:15:00 AM,63.797,0.0,,,,
75,06/21/23 02:30:00 AM,63.626,0.0,,,,
76,06/21/23 02:45:00 AM,63.626,0.0,,,,
77,06/21/23 03:00:00 AM,63.797,0.0,,,,
78,06/21/23 03:15:00 AM,63.626,0.0,,,,
79,06/21/23 03:30:00 AM,63.626,0.0,,,,
80,06/21/23 03:45:00 AM,63.797,0.0,,,,
81,06/21/23 04:00:00 AM,63.797,0.0,,,,
82,06/21/23 04:15:00 AM,63.797,0.0,,,,
