"Plot Title: 21741107-A"
"#","Date Time, GMT-04:00","Temp, °F (LGR S/N: 21741107, SEN S/N: 21741107)","Intensity, lum/ft² (LGR S/N: 21741107, SEN S/N: 21741107)","Coupler Attached (LGR S/N: 21741107)","Host Connected (LGR S/N: 21741107)","Stopped (LGR S/N: 21741107)","End Of File (LGR S/N: 21741107)"
1,06/06/23 08:00:00 PM,73.926,3.0,,,,
2,06/06/23 08:30:00 PM,73.234,0.0,,,,
3,06/06/23 09:00:00 PM,73.234,0.0,,,,
4,06/06/23 09:30:00 PM,73.062,0.0,,,,
5,06/06/23 10:00:00 PM,72.891,0.0,,,,
6,06/06/23 10:30:00 PM,72.718,1.0,,,,
7,06/06/23 11:00:00 PM,72.718,0.0,,,,
8,06/06/23 11:30:00 PM,72.545,0.0,,,,
9,06/07/23 12:00:00 AM,72.028,0.0,,,,
10,06/07/23 12:30:00 AM,71.683,0.0,,,,
11,06/07/23 01:00:00 AM,71.339,0.0,,,,
12,06/07/23 01:30:00 AM,70.995,0.0,,,,
13,06/07/23 02:00:00 AM,70.824,0.0,,,,
14,06/07/23 02:30:00 AM,70.480,0.0,,,,
15,06/07/23 03:00:00 AM,70.308,0.0,,,,
16,06/07/23 03:30:00 AM,69.964,0.0,,,,
17,06/07/23 04:00:00 AM,69.622,0.0,,,,
18,06/07/23 04:30:00 AM,69.278,0.0,,,,
19,06/07/23 05:00:00 AM,68.934,0.0,,,,
20,06/07/23 05:30:00 AM,68.763,16.0,,,,
21,06/07/23 06:00:00 AM,68.592,65.0,,,,
22,06/07/23 06:30:00 AM,68.763,106.0,,,,
23,06/07/23 07:00:00 AM,68.934,128.0,,,,
24,06/07/23 07:30:00 AM,69.278,144.0,,,,
25,06/07/23 08:00:00 AM,69.449,160.0,,,,
26,06/07/23 08:30:00 AM,69.622,184.0,,,,
27,06/07/23 09:00:00 AM,69.793,208.0,,,,
28,06/07/23 09:30:00 AM,70.137,256.0,,,,
29,06/07/23 10:00:00 AM,70.480,272.0,,,,
30,06/07/23 10:30:00 AM,70.995,256.0,,,,
31,06/07/23 11:00:00 AM,71.339,256.0,,,,
32,06/07/23 11:30:00 AM,71.683,304.0,,,,
33,06/07/23 12:00:00 PM,72.372,272.0,,,,
34,06/07/23 12:30:00 PM,72.891,272.0,,,,
35,06/07/23 01:00:00 PM,73.062,352.0,,,,
36,06/07/23 01:30:00 PM,73.580,320.0,,,,
37,06/07/23 02:00:00 PM,73.926,256.0,,,,
38,06/07/23 02:30:00 PM,74.271,256.0,,,,
39,06/07/23 03:00:00 PM,73.753,2944.0,,,,
40,06/07/23 03:30:00 PM,73.580,2944.0,,,,
41,06/07/23 04:00:00 PM,73.234,2048.0,,,,
42,06/07/23 04:30:00 PM,68.934,464.0,,,,
43,06/07/23 05:00:00 PM,69.278,864.0,,,,
44,06/07/23 05:30:00 PM,68.421,1152.0,,,,
45,06/07/23 06:00:00 PM,66.366,512.0,,,,
46,06/07/23 06:30:00 PM,66.193,800.0,,,,
47,06/07/23 07:00:00 PM,64.481,352.0,,,,
48,06/07/23 07:30:00 PM,62.940,200.0,,,,
49,06/07/23 08:00:00 PM,61.227,44.0,,,,
50,06/07/23 08:30:00 PM,60.539,4.0,,,,
51,06/07/23 09:00:00 PM,59.851,0.0,,,,
52,06/07/23 09:20:19 PM,,,Logged,,,
53,06/07/23 09:20:24 PM,,,,Logged,,
54,06/07/23 09:20:35 PM,,,,,Logged,Logged
