well,sample_id
A1,Standard_A
A2,Standard_A
A3,Standard_B
A4,Standard_B
A5,Standard_C
A6,Standard_C
A7,Standard_D
A8,Standard_D
A9,Standard_E
A10,Standard_E
A11,Standard_F
A12,Standard_F
B1,Standard_G
B2,Standard_G
B3,Standard_H
B4,Standard_H
B5,Standard_I
B6,Standard_I
B7,D4-C2-1
B8,D4-C2-1
B9,D1-B2-2
B10,D1-B2-2
B11,S5-B3-4
B12,S5-B3-4
C1,D5-C1-7
C2,D5-C1-7
C3,S1-B1-9
C4,S1-B1-9
C5,D5-B2-11
C6,D5-B2-11
C7,G4-B4-12
C8,G4-B4-12
C9,D2-C2-15
C10,D2-C2-15
C11,G4-B1-17
C12,G4-B1-17
D1,S1-B3-18
D2,S1-B3-18
D3,G5-B3-19
D4,G5-B3-19
D5,G1-B3-24
D6,G1-B3-24
D7,G1-B1-26
D8,G1-B1-26
D9,D2-B2-30
D10,D2-B2-30
D11,D1-B4-32
D12,D1-B4-32
E1,D2-C1-36
E2,D2-C1-36
E3,G5-C4-41
E4,G5-C4-41
E5,G4-C2-42
E6,G4-C2-42
E7,S5-C3-45
E8,S5-C3-45
E9,S4-C3-47
E10,S4-C3-47
E11,G5-C1-49
E12,G5-C1-49
F1,G1-C2-50
F2,G1-C2-50
F3,D5-B4-53
F4,D5-B4-53
F5,G5-C3-56
F6,G5-C3-56
F7,G2-C4-57
F8,G2-C4-57
F9,S5-B2-63
F10,S5-B2-63
F11,D5-B3-64
F12,D5-B3-64
G1,D4-C1-65
G2,D4-C1-65
G3,G5-B4-67
G4,G5-B4-67
G5,D4-B4-70
G6,D4-B4-70
G7,G4-C3-72
G8,G4-C3-72
G9,S5-C1-74
G10,S5-C1-74
G11,G2-C1-84
G12,G2-C1-84
H1,S2-C3-86
H2,S2-C3-86
H3,D2-B1-91
H4,D2-B1-91
H5,S2-C4-97
H6,S2-C4-97
H7,D5-C3-168
H8,D5-C3-168
H9,S5-C2-169
H10,S5-C2-169
H11,NA
H12,NA
