Software Version,3.03.14,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
Experiment File Path:,C:\Users\synergy\Desktop\T.Lindsay\TLAP_Protein_100s.xpt,,,,,,,,,,,,
Protocol File Path:,C:\Users\Public\Documents\Protocols\KW_Protein-562nm.prt,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
Plate Number,Plate 1,,,,,,,,,,,,
Date,12/13/23,,,,,,,,,,,,
Time,3:54:40 PM,,,,,,,,,,,,
Reader Type:,Synergy HTX,,,,,,,,,,,,
Reader Serial Number:,18041123,,,,,,,,,,,,
Reading Type,Reader,,,,,,,,,,,,
,,,,,,,,,,,,,
Procedure Details,,,,,,,,,,,,,
,,,,,,,,,,,,,
Plate Type,96 WELL PLATE,,,,,,,,,,,,
Eject plate on completion,,,,,,,,,,,,,
Read,Absorbance Endpoint,,,,,,,,,,,,
,Full Plate,,,,,,,,,,,,
,Wavelengths:  562,,,,,,,,,,,,
,"Read Speed: Normal,  Delay: 100 msec,  Measurements/Data Point: 8",,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
Actual Temperature:,24.1,,,,,,,,,,,,
,,,,,,,,,,,,,
Results,,,,,,,,,,,,,
,1,2,3,4,5,6,7,8,9,10,11,12,
A,1.937,2.019,1.675,1.61,1.172,1.192,0.947,0.976,0.673,0.679,0.406,0.417,562
B,0.241,0.246,0.114,0.113,0.086,0.085,2.464,2.554,1.955,2.038,1.22,1.216,562
C,1.003,0.988,0.818,0.812,2.257,2.323,1.378,1.351,1.896,1.967,2.924,3.123,562
D,1.231,1.224,0.806,0.823,2.15,2.19,1.223,1.206,1.148,1.222,1.436,1.576,562
E,1.403,1.399,1.073,1.052,1.324,1.306,3.347,3.411,0.89,0.901,1.577,1.57,562
F,1.413,1.387,1.22,1.43,0.799,0.796,1.592,1.587,1.594,1.645,1.457,1.509,562
G,0.892,0.929,1.385,1.353,1.093,1.08,1.229,1.214,1.243,1.344,1.139,1.154,562
H,0.785,0.817,1.456,1.404,0.858,0.89,1.586,1.581,1.24,1.31,0.709,0.716,562
