time_start,time_end,exact_depth,date,n_sym_1,n_apo_1,n_sym_2,n_apo_2,algae,quality_control,mean_sym,mean_apo,tide,corrected_depth,light,temp,LOGGERS,
8:49,8:52,27,9/29/23,4,1,13,0,80,bad,8.5,0.5,4.30,22.70,16.515,17.77147,XZ,
8:53,8:54,26,9/29/23,1,7,1,4,90,good,1,5.5,4.30,21.70,19.57308,17.82615,XZ,
9:01,9:03,26,9/29/23,0,0,0,0,100,good,0,0,4.20,21.80,49.7825,17.85375,XZ,
9:04,9:09,27,9/29/23,9,55,9,60,5,good,9,57.5,4.20,22.80,61.89481,17.86259,XZ,
9:09,9:13,27,9/29/23,2,47,5,42,0,good,3.5,44.5,4.10,22.90,71.52,17.861,XZ,
9:15,9:18,24,9/29/23,0,9,0,8,85,good,0,8.5,4.00,20.00,56.98259,17.85889,XZ,
9:19,9:23,23,9/29/23,0,10,0,10,100,good,0,10,3.90,19.10,138.0756,17.86481,XZ,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
