time_start,time_end,exact_depth,date,n_sym_1,n_apo_1,n_sym_2,n_apo_2,algae,quality_control,mean_sym,mean_apo,tide,corrected_depth,light,temp,,
8:44,8:49,38,9/7/23,33,52,28,48,0,good,30.5,50,0.80,37.20,303.58,19.74656,,
8:50,8:53,35,9/7/23,58,45,54,46,0,good,56,45.5,0.80,34.20,362.0655,19.52682,,
8:54,8:56,32,9/7/23,45,24,44,22,0,good,44.5,23,0.80,31.20,317.2218,19.49818,,
8:58,9:01,26,9/7/23,6,5,4,3,60,good,5,4,0.80,25.20,907.5627,19.612,,
9:03,9:06,29,9/7/23,15,24,20,23,45,good,17.5,23.5,0.90,28.10,503.1822,19.60333,,
9:07,9:11,28,9/7/23,8,38,17,36,20,bad,12.5,37,0.90,27.10,696.0286,19.60857,,
9:13,9:15,29,9/7/23,17,28,21,27,10,good,19,27.5,0.90,28.10,741.0347,19.576,,
9:17,9:20,28,9/7/23,10,18,10,19,75,good,10,18.5,0.90,27.10,1237.2,19.5875,,
9:21,9:26,24,9/7/23,4,42,5,44,90,good,4.5,43,1.00,23.00,1178.257,19.56973,,
9:27,9:30,16,9/7/23,5,18,4,15,85,good,4.5,16.5,1.00,15.00,3137.958,19.59,,
10:11,10:15,13,9/7/23,6,29,4,27,100,good,5,28,1.20,11.80,9231.531,22.03467,,
10:16,10:19,15,9/7/23,9,8,5,11,55,good,7,9.5,1.30,13.70,5925.831,21.56222,,
10:20,10:21,17,9/7/23,3,5,3,7,40,good,3,6,1.30,15.70,7686.827,21.43333,,
10:23,10:26,21,9/7/23,9,11,8,10,80,good,8.5,10.5,1.30,19.70,1518.662,21.26818,,
10:27,10:30,21,9/7/23,3,2,5,1,30,good,4,1.5,1.30,19.70,2545.707,20.95667,,
10:32,10:35,20,9/7/23,19,14,16,12,45,good,17.5,13,1.40,18.60,3310.933,20.89778,,
10:36,10:39,19,9/7/23,1,12,0,10,85,good,0.5,11,1.40,17.60,2440.704,20.776,,
10:42,10:46,11,9/7/23,2,7,1,4,90,good,1.5,5.5,1.40,9.60,9595.947,20.95667,,
10:47,10:49,12,9/7/23,7,8,7,8,100,good,7,8,1.50,10.50,11830.27,21.302,,
10:50,10:52,10,9/7/23,1,0,0,0,100,good,0.5,0,1.50,8.50,6584.747,21.51667,,
10:53,10:55,10,9/7/23,0,0,0,0,100,good,0,0,1.50,8.50,11575.95,21.55857,,
10:58,11:00,7,9/7/23,0,1,0,0,95,good,0,0.5,1.60,5.40,4195.36,21.415,,
11:02,11:03,6,9/7/23,0,1,0,2,100,good,0,1.5,1.60,4.40,22240,21.66,,
11:04,11:05,7,9/7/23,0,0,0,0,95,good,0,0,1.60,5.40,24325.12,21.7,,
