#,Date-Time (EDT),Ch:1 - Temperature   (°C),Ch:2 - Light   (lux)
1,09/22/2023 09:07:08,21.92,27852.80
2,09/22/2023 09:07:18,22.01,28211.20
3,09/22/2023 09:07:28,22.09,28303.36
4,09/22/2023 09:07:38,22.22,28549.12
5,09/22/2023 09:07:48,22.35,28702.72
6,09/22/2023 09:07:58,22.43,28395.52
7,09/22/2023 09:08:08,22.52,28344.32
8,09/22/2023 09:08:18,22.65,25927.68
9,09/22/2023 09:08:28,22.65,28508.16
10,09/22/2023 09:08:38,22.78,28590.08
11,09/22/2023 09:08:48,22.86,28590.08
12,09/22/2023 09:08:58,22.95,28549.12
13,09/22/2023 09:09:08,22.99,28262.40
14,09/22/2023 09:09:18,23.12,28385.28
15,09/22/2023 09:09:28,23.21,28753.92
16,09/22/2023 09:09:38,23.29,28917.76
17,09/22/2023 09:09:48,23.38,28825.60
18,09/22/2023 09:09:58,23.46,29644.80
19,09/22/2023 09:10:08,23.55,29818.88
20,09/22/2023 09:10:18,23.68,30279.68
21,09/22/2023 09:10:28,23.76,30136.32
22,09/22/2023 09:10:38,23.85,30074.88
23,09/22/2023 09:10:48,23.89,29931.52
24,09/22/2023 09:10:58,23.98,29818.88
25,09/22/2023 09:11:08,24.02,30136.32
26,09/22/2023 09:11:18,24.15,30146.56
27,09/22/2023 09:11:28,24.19,30197.76
28,09/22/2023 09:11:38,24.32,30361.60
29,09/22/2023 09:11:48,24.41,30402.56
30,09/22/2023 09:11:58,24.45,30156.80
31,09/22/2023 09:12:08,24.54,29419.52
32,09/22/2023 09:12:18,24.58,29644.80
33,09/22/2023 09:12:28,24.58,30238.72
34,09/22/2023 09:12:38,24.71,30392.32
35,09/22/2023 09:12:48,24.71,5864.96
36,09/22/2023 09:12:58,24.41,7936.00
37,09/22/2023 09:13:08,24.19,8023.04
38,09/22/2023 09:13:18,24.02,23152.64
39,09/22/2023 09:13:28,24.06,7037.44
40,09/22/2023 09:13:38,24.15,32563.20
41,09/22/2023 09:13:48,24.24,8023.04
42,09/22/2023 09:13:58,24.28,38420.48
43,09/22/2023 09:14:08,24.41,31692.80
44,09/22/2023 09:14:18,24.45,14213.12
45,09/22/2023 09:14:28,24.41,37580.80
46,09/22/2023 09:14:38,24.79,42393.60
47,09/22/2023 09:14:48,24.84,43991.04
48,09/22/2023 09:14:58,24.79,2376.96
49,09/22/2023 09:15:08,24.79,36792.32
50,09/22/2023 09:15:18,24.84,30392.32
51,09/22/2023 09:15:28,24.62,22333.44
52,09/22/2023 09:15:38,24.36,9361.92
53,09/22/2023 09:15:48,24.19,6824.96
54,09/22/2023 09:15:58,24.02,8404.48
55,09/22/2023 09:16:08,23.94,8023.04
56,09/22/2023 09:16:18,23.81,17966.08
57,09/22/2023 09:16:28,23.64,4386.56
58,09/22/2023 09:16:38,23.46,5088.00
59,09/22/2023 09:16:48,23.34,4817.92
60,09/22/2023 09:16:58,23.16,4666.88
61,09/22/2023 09:17:08,22.99,4570.88
62,09/22/2023 09:17:18,22.91,4940.80
63,09/22/2023 09:17:28,22.78,4926.72
64,09/22/2023 09:17:38,22.61,4366.08
65,09/22/2023 09:17:48,22.52,7754.24
66,09/22/2023 09:17:58,22.48,6594.56
67,09/22/2023 09:18:08,22.39,9840.64
68,09/22/2023 09:18:18,22.56,44032.00
69,09/22/2023 09:18:28,22.39,7818.24
70,09/22/2023 09:18:38,22.31,6778.88
71,09/22/2023 09:18:48,22.22,6302.72
72,09/22/2023 09:18:58,22.09,6190.08
73,09/22/2023 09:19:08,21.96,1504.00
74,09/22/2023 09:19:18,21.70,5834.24
75,09/22/2023 09:19:28,21.53,4028.16
76,09/22/2023 09:19:38,21.36,1568.00
77,09/22/2023 09:19:48,21.23,1540.48
78,09/22/2023 09:19:58,21.10,1611.52
79,09/22/2023 09:20:08,21.02,1925.12
80,09/22/2023 09:20:18,20.85,1651.20
81,09/22/2023 09:20:28,20.72,1902.72
82,09/22/2023 09:20:38,20.68,2282.24
83,09/22/2023 09:20:48,20.59,1411.84
84,09/22/2023 09:20:58,20.55,1672.32
85,09/22/2023 09:21:08,20.46,3929.60
86,09/22/2023 09:21:18,20.37,5875.20
87,09/22/2023 09:21:28,20.37,7106.56
88,09/22/2023 09:21:38,20.29,2465.28
89,09/22/2023 09:21:48,20.29,1435.52
90,09/22/2023 09:21:58,20.25,1251.20
91,09/22/2023 09:22:08,20.20,1902.72
92,09/22/2023 09:22:18,20.16,2634.24
93,09/22/2023 09:22:28,20.12,625.28
94,09/22/2023 09:22:38,20.03,588.16
95,09/22/2023 09:22:48,19.95,610.24
96,09/22/2023 09:22:58,19.82,258.16
97,09/22/2023 09:23:08,19.73,326.72
98,09/22/2023 09:23:18,19.65,150.88
99,09/22/2023 09:23:28,19.52,131.12
100,09/22/2023 09:23:38,19.52,102.80
101,09/22/2023 09:23:48,19.43,86.60
102,09/22/2023 09:23:58,19.35,87.44
103,09/22/2023 09:24:08,19.35,83.04
104,09/22/2023 09:24:18,19.26,62.52
105,09/22/2023 09:24:28,19.22,44.52
106,09/22/2023 09:24:38,19.13,54.40
107,09/22/2023 09:24:48,19.09,40.25
108,09/22/2023 09:24:58,19.09,55.68
109,09/22/2023 09:25:08,19.05,47.98
110,09/22/2023 09:25:18,19.00,41.10
111,09/22/2023 09:25:28,19.00,51.84
112,09/22/2023 09:25:38,18.92,36.84
113,09/22/2023 09:25:48,18.92,50.12
114,09/22/2023 09:25:58,18.92,53.96
115,09/22/2023 09:26:08,18.87,43.66
116,09/22/2023 09:26:18,18.83,29.09
117,09/22/2023 09:26:28,18.83,16.04
118,09/22/2023 09:26:38,18.79,11.98
119,09/22/2023 09:26:48,18.74,15.83
120,09/22/2023 09:26:58,18.70,21.62
121,09/22/2023 09:27:08,18.70,15.40
122,09/22/2023 09:27:18,18.66,72.50
123,09/22/2023 09:27:28,18.62,5.33
124,09/22/2023 09:27:38,18.57,10.70
125,09/22/2023 09:27:48,18.57,10.27
126,09/22/2023 09:27:58,18.57,10.49
127,09/22/2023 09:28:08,18.53,16.49
128,09/22/2023 09:28:18,18.57,15.43
129,09/22/2023 09:28:28,18.53,11.34
130,09/22/2023 09:28:38,18.49,21.43
131,09/22/2023 09:28:48,18.49,13.90
132,09/22/2023 09:28:58,18.49,20.98
133,09/22/2023 09:29:08,18.44,13.69
134,09/22/2023 09:29:18,18.44,16.71
135,09/22/2023 09:29:28,18.40,25.30
136,09/22/2023 09:29:38,18.32,7.90
137,09/22/2023 09:29:48,18.32,10.06
138,09/22/2023 09:29:58,18.32,16.28
139,09/22/2023 09:30:08,18.32,9.42
140,09/22/2023 09:30:18,18.27,8.35
141,09/22/2023 09:30:28,18.27,8.78
142,09/22/2023 09:30:38,18.14,6.83
143,09/22/2023 09:30:48,18.14,6.19
144,09/22/2023 09:30:58,18.14,6.40
145,09/22/2023 09:31:08,18.06,6.83
146,09/22/2023 09:31:18,18.02,5.12
147,09/22/2023 09:31:28,17.97,17.35
148,09/22/2023 09:31:38,17.93,210.08
149,09/22/2023 09:31:48,17.93,47.56
150,09/22/2023 09:31:58,17.93,79.76
151,09/22/2023 09:32:08,17.84,15.85
152,09/22/2023 09:32:18,17.80,18.66
153,09/22/2023 09:32:28,17.76,35.55
154,09/22/2023 09:32:38,17.76,11.55
155,09/22/2023 09:32:48,17.72,9.85
156,09/22/2023 09:32:58,17.72,4.48
157,09/22/2023 09:33:08,17.72,10.70
158,09/22/2023 09:33:18,17.67,9.63
159,09/22/2023 09:33:28,17.67,20.15
160,09/22/2023 09:33:38,17.67,7.47
161,09/22/2023 09:33:48,17.63,9.42
162,09/22/2023 09:33:58,17.59,5.12
163,09/22/2023 09:34:08,17.54,5.33
164,09/22/2023 09:34:18,17.54,51.04
165,09/22/2023 09:34:28,17.59,22.07
166,09/22/2023 09:34:38,17.54,5.55
167,09/22/2023 09:34:48,17.50,7.50
168,09/22/2023 09:34:58,17.46,8.56
169,09/22/2023 09:35:08,17.50,10.06
170,09/22/2023 09:35:18,17.41,6.19
171,09/22/2023 09:35:28,17.41,4.48
172,09/22/2023 09:35:38,17.41,5.12
173,09/22/2023 09:35:48,17.37,15.43
174,09/22/2023 09:35:58,17.37,7.26
175,09/22/2023 09:36:08,17.33,1.92
176,09/22/2023 09:36:18,17.37,9.63
177,09/22/2023 09:36:28,17.37,13.72
178,09/22/2023 09:36:38,17.33,8.56
179,09/22/2023 09:36:48,17.33,14.78
180,09/22/2023 09:36:58,17.33,11.77
181,09/22/2023 09:37:08,17.37,7.50
182,09/22/2023 09:37:18,17.37,4.27
183,09/22/2023 09:37:28,17.29,2.34
184,09/22/2023 09:37:38,17.37,4.91
185,09/22/2023 09:37:48,17.33,7.04
186,09/22/2023 09:37:58,17.33,4.91
187,09/22/2023 09:38:08,17.37,5.76
188,09/22/2023 09:38:18,17.33,41.58
189,09/22/2023 09:38:28,17.37,23.78
190,09/22/2023 09:38:38,17.41,6.40
191,09/22/2023 09:38:48,17.37,5.12
192,09/22/2023 09:38:58,17.41,3.20
193,09/22/2023 09:39:08,17.37,7.04
194,09/22/2023 09:39:18,17.41,5.76
195,09/22/2023 09:39:28,17.41,3.41
196,09/22/2023 09:39:38,17.46,21.86
197,09/22/2023 09:39:48,17.41,122.68
198,09/22/2023 09:39:58,17.46,52.74
199,09/22/2023 09:40:08,17.46,2.34
200,09/22/2023 09:40:18,17.46,1.06
201,09/22/2023 09:40:28,17.54,4171.52
202,09/22/2023 09:40:38,17.50,5.97
203,09/22/2023 09:40:48,17.50,6.83
204,09/22/2023 09:40:58,17.50,7.04
205,09/22/2023 09:41:08,17.46,7.47
206,09/22/2023 09:41:18,17.50,6.83
207,09/22/2023 09:41:28,17.50,5.12
208,09/22/2023 09:41:38,17.50,4.05
209,09/22/2023 09:41:48,17.50,4.05
210,09/22/2023 09:41:58,17.50,4.91
211,09/22/2023 09:42:08,17.50,5.55
212,09/22/2023 09:42:18,17.50,4.48
213,09/22/2023 09:42:28,17.46,4.91
214,09/22/2023 09:42:38,17.50,81.88
215,09/22/2023 09:42:48,17.50,54.02
216,09/22/2023 09:42:58,17.50,19.51
217,09/22/2023 09:43:08,17.50,1.06
218,09/22/2023 09:43:18,17.50,2.13
219,09/22/2023 09:43:28,17.46,4.69
220,09/22/2023 09:43:38,17.50,4.91
221,09/22/2023 09:43:48,17.50,7.92
222,09/22/2023 09:43:58,17.46,2.13
223,09/22/2023 09:44:08,17.50,291.92
224,09/22/2023 09:44:18,17.54,9.63
225,09/22/2023 09:44:28,17.50,39.88
226,09/22/2023 09:44:38,17.54,5.55
227,09/22/2023 09:44:48,17.50,60.42
228,09/22/2023 09:44:58,17.50,6.83
229,09/22/2023 09:45:08,17.50,15.21
230,09/22/2023 09:45:18,17.54,1.92
231,09/22/2023 09:45:28,17.54,5.12
232,09/22/2023 09:45:38,17.54,37.69
233,09/22/2023 09:45:48,17.54,8.75
234,09/22/2023 09:45:58,17.54,7.26
235,09/22/2023 09:46:08,17.59,9.85
236,09/22/2023 09:46:18,17.54,9.42
237,09/22/2023 09:46:28,17.59,5.55
238,09/22/2023 09:46:38,17.54,5.12
239,09/22/2023 09:46:48,17.50,8.11
240,09/22/2023 09:46:58,17.59,16.92
241,09/22/2023 09:47:08,17.59,9.21
242,09/22/2023 09:47:18,17.59,4.48
243,09/22/2023 09:47:28,17.63,5.33
244,09/22/2023 09:47:38,17.59,12.20
245,09/22/2023 09:47:48,17.63,7.47
246,09/22/2023 09:47:58,17.67,16.71
247,09/22/2023 09:48:08,17.63,38.97
248,09/22/2023 09:48:18,17.63,32.99
249,09/22/2023 09:48:28,17.67,16.71
250,09/22/2023 09:48:38,17.67,19.91
251,09/22/2023 09:48:48,17.67,78.10
252,09/22/2023 09:48:58,17.72,31.28
253,09/22/2023 09:49:08,17.72,61.72
254,09/22/2023 09:49:18,17.72,47.56
255,09/22/2023 09:49:28,17.76,855.36
256,09/22/2023 09:49:38,17.84,41.10
257,09/22/2023 09:49:48,17.89,38.54
258,09/22/2023 09:49:58,17.89,47.98
259,09/22/2023 09:50:08,17.89,71.10
260,09/22/2023 09:50:18,17.93,34.70
261,09/22/2023 09:50:28,17.89,32.56
262,09/22/2023 09:50:38,17.93,20.76
263,09/22/2023 09:50:48,17.97,55.68
264,09/22/2023 09:50:58,18.02,63.42
265,09/22/2023 09:51:08,18.02,141.48
266,09/22/2023 09:51:18,17.97,81.46
267,09/22/2023 09:51:28,18.06,136.24
268,09/22/2023 09:51:38,18.06,97.68
269,09/22/2023 09:51:48,18.06,219.52
270,09/22/2023 09:51:58,18.14,234.00
271,09/22/2023 09:52:08,18.14,270.16
272,09/22/2023 09:52:18,18.19,271.84
273,09/22/2023 09:52:28,18.19,103.76
274,09/22/2023 09:52:38,18.27,439.84
275,09/22/2023 09:52:48,18.27,190.48
276,09/22/2023 09:52:58,18.27,9.85
277,09/22/2023 09:53:08,18.32,285.52
278,09/22/2023 09:53:18,18.32,316.48
279,09/22/2023 09:53:28,18.32,331.84
280,09/22/2023 09:53:38,18.32,286.32
281,09/22/2023 09:53:48,18.36,388.32
282,09/22/2023 09:53:58,18.32,669.44
283,09/22/2023 09:54:08,18.36,911.36
284,09/22/2023 09:54:18,18.40,328.32
285,09/22/2023 09:54:28,18.40,356.80
286,09/22/2023 09:54:38,18.44,276.08
287,09/22/2023 09:54:48,18.40,107.20
288,09/22/2023 09:54:58,18.44,231.44
289,09/22/2023 09:55:08,18.44,851.52
290,09/22/2023 09:55:18,18.44,1032.64
291,09/22/2023 09:55:28,18.49,664.32
