#,Date-Time (EDT),Ch:1 - Temperature   (°C),Ch:2 - Light   (lux)
1,09/29/2023 08:33:58,16.39,266.24
2,09/29/2023 08:34:08,16.39,264.56
3,09/29/2023 08:34:18,16.39,557.76
4,09/29/2023 08:34:28,16.43,551.36
5,09/29/2023 08:34:38,16.34,70.10
6,09/29/2023 08:34:48,16.43,1496.32
7,09/29/2023 08:34:58,16.39,1496.32
8,09/29/2023 08:35:08,16.43,1486.08
9,09/29/2023 08:35:18,16.39,1462.40
10,09/29/2023 08:35:28,16.34,1498.88
11,09/29/2023 08:35:38,16.34,1494.40
12,09/29/2023 08:35:48,16.34,1415.04
13,09/29/2023 08:35:58,16.30,1422.08
14,09/29/2023 08:36:08,16.30,1371.52
15,09/29/2023 08:36:18,16.30,1353.60
16,09/29/2023 08:36:28,16.26,1324.80
17,09/29/2023 08:36:38,16.26,1286.40
18,09/29/2023 08:36:48,16.21,1253.76
19,09/29/2023 08:36:58,16.21,1217.28
20,09/29/2023 08:37:08,16.21,1200.00
21,09/29/2023 08:37:18,16.17,1194.88
22,09/29/2023 08:37:28,16.13,1180.48
23,09/29/2023 08:37:38,16.08,1172.80
24,09/29/2023 08:37:48,16.08,1177.92
25,09/29/2023 08:37:58,16.08,1092.48
26,09/29/2023 08:38:08,16.04,1199.36
27,09/29/2023 08:38:18,16.00,1145.28
28,09/29/2023 08:38:28,16.04,95.44
29,09/29/2023 08:38:38,16.00,67.16
30,09/29/2023 08:38:48,16.00,625.60
31,09/29/2023 08:38:58,15.91,609.92
32,09/29/2023 08:39:08,15.96,55.94
33,09/29/2023 08:39:18,15.87,149.48
34,09/29/2023 08:39:28,15.91,625.60
35,09/29/2023 08:39:38,15.91,584.32
36,09/29/2023 08:39:48,15.83,527.36
37,09/29/2023 08:39:58,15.83,512.96
38,09/29/2023 08:40:08,15.78,87.64
39,09/29/2023 08:40:18,15.78,163.36
40,09/29/2023 08:40:28,15.78,207.12
41,09/29/2023 08:40:38,15.78,196.88
42,09/29/2023 08:40:48,15.70,246.64
43,09/29/2023 08:40:58,15.74,254.32
44,09/29/2023 08:41:08,15.70,180.40
45,09/29/2023 08:41:18,15.66,26.40
46,09/29/2023 08:41:28,15.66,395.84
47,09/29/2023 08:41:38,15.66,537.76
48,09/29/2023 08:41:48,15.66,207.12
49,09/29/2023 08:41:58,15.66,160.80
50,09/29/2023 08:42:08,15.61,191.52
51,09/29/2023 08:42:18,15.57,241.52
52,09/29/2023 08:42:28,15.57,114.36
53,09/29/2023 08:42:38,15.57,91.08
54,09/29/2023 08:42:48,15.57,871.04
55,09/29/2023 08:42:58,15.57,194.08
56,09/29/2023 08:43:08,15.70,182.80
57,09/29/2023 08:43:18,15.91,193.04
58,09/29/2023 08:43:28,16.13,94.36
59,09/29/2023 08:43:38,16.26,180.96
60,09/29/2023 08:43:48,16.39,236.80
61,09/29/2023 08:43:58,16.51,251.36
62,09/29/2023 08:44:08,16.64,198.16
63,09/29/2023 08:44:18,16.69,218.00
64,09/29/2023 08:44:28,16.77,245.36
65,09/29/2023 08:44:38,16.86,270.32
66,09/29/2023 08:44:48,16.94,211.20
67,09/29/2023 08:44:58,17.03,162.20
68,09/29/2023 08:45:08,17.07,195.60
69,09/29/2023 08:45:18,17.11,57.86
70,09/29/2023 08:45:28,17.20,69.08
71,09/29/2023 08:45:38,17.20,106.32
72,09/29/2023 08:45:48,17.24,95.12
73,09/29/2023 08:45:58,17.29,72.44
74,09/29/2023 08:46:08,17.29,37.26
75,09/29/2023 08:46:18,17.33,10.91
76,09/29/2023 08:46:28,17.41,14.76
77,09/29/2023 08:46:38,17.37,9.42
78,09/29/2023 08:46:48,17.41,16.04
79,09/29/2023 08:46:58,17.46,17.99
80,09/29/2023 08:47:08,17.50,5.12
81,09/29/2023 08:47:18,17.54,8.75
82,09/29/2023 08:47:28,17.50,3.20
83,09/29/2023 08:47:38,17.54,1.92
84,09/29/2023 08:47:48,17.59,5.33
85,09/29/2023 08:47:58,17.59,2.56
86,09/29/2023 08:48:08,17.63,1.28
87,09/29/2023 08:48:18,17.59,2.77
88,09/29/2023 08:48:28,17.67,1.70
89,09/29/2023 08:48:38,17.63,2.98
90,09/29/2023 08:48:48,17.63,4.48
91,09/29/2023 08:48:58,17.63,4.48
92,09/29/2023 08:49:08,17.67,2.34
93,09/29/2023 08:49:18,17.67,0.21
94,09/29/2023 08:49:28,17.67,1.28
95,09/29/2023 08:49:38,17.67,13.26
96,09/29/2023 08:49:48,17.72,16.92
97,09/29/2023 08:49:58,17.72,20.98
98,09/29/2023 08:50:08,17.72,20.55
99,09/29/2023 08:50:18,17.72,17.35
100,09/29/2023 08:50:28,17.72,19.91
101,09/29/2023 08:50:38,17.76,22.05
102,09/29/2023 08:50:48,17.76,17.99
103,09/29/2023 08:50:58,17.76,21.19
104,09/29/2023 08:51:08,17.76,22.69
105,09/29/2023 08:51:18,17.72,23.11
106,09/29/2023 08:51:28,17.76,23.35
107,09/29/2023 08:51:38,17.76,25.06
108,09/29/2023 08:51:48,17.80,27.41
