#,Date-Time (EST),Ch:1 - Temperature   (°C),Ch:2 - Light   (lux)
1,11/09/2023 14:11:22,13.77,607.68
2,11/09/2023 14:11:32,13.85,459.04
3,11/09/2023 14:11:42,13.94,726.40
4,11/09/2023 14:11:52,14.03,817.28
5,11/09/2023 14:12:02,14.11,760.64
6,11/09/2023 14:12:12,14.15,759.68
7,11/09/2023 14:12:22,14.28,701.12
8,11/09/2023 14:12:32,14.33,659.20
9,11/09/2023 14:12:42,14.41,617.60
10,11/09/2023 14:12:52,14.50,101.32
11,11/09/2023 14:13:02,14.58,97.92
12,11/09/2023 14:13:12,14.67,90.96
13,11/09/2023 14:13:22,14.67,96.20
14,11/09/2023 14:13:32,14.71,91.80
15,11/09/2023 14:13:42,14.75,80.72
16,11/09/2023 14:13:52,14.84,76.44
17,11/09/2023 14:14:02,14.88,69.50
18,11/09/2023 14:14:12,14.93,79.86
19,11/09/2023 14:14:22,14.93,82.40
20,11/09/2023 14:14:32,15.01,48.90
21,11/09/2023 14:14:42,15.06,90.12
22,11/09/2023 14:14:52,15.06,90.12
23,11/09/2023 14:15:02,15.10,107.28
24,11/09/2023 14:15:12,15.14,110.72
25,11/09/2023 14:15:22,15.14,115.08
26,11/09/2023 14:15:32,15.27,118.52
27,11/09/2023 14:15:42,15.27,94.48
28,11/09/2023 14:15:52,15.27,121.08
29,11/09/2023 14:16:02,15.36,124.48
30,11/09/2023 14:16:12,15.40,105.60
31,11/09/2023 14:16:22,15.40,119.36
32,11/09/2023 14:16:32,15.44,128.76
33,11/09/2023 14:16:42,15.53,127.92
34,11/09/2023 14:16:52,15.48,139.96
35,11/09/2023 14:17:02,15.57,134.76
36,11/09/2023 14:17:12,15.61,128.76
37,11/09/2023 14:17:22,15.70,127.04
38,11/09/2023 14:17:32,15.70,124.48
39,11/09/2023 14:17:42,15.70,126.20
40,11/09/2023 14:17:52,15.78,99.60
41,11/09/2023 14:18:02,15.78,148.52
42,11/09/2023 14:18:12,15.83,108.16
43,11/09/2023 14:18:22,15.87,113.28
44,11/09/2023 14:18:32,15.87,113.28
45,11/09/2023 14:18:42,15.91,117.64
46,11/09/2023 14:18:52,15.96,94.48
47,11/09/2023 14:19:02,15.96,100.48
48,11/09/2023 14:19:12,16.00,60.92
49,11/09/2023 14:19:22,16.00,383.04
50,11/09/2023 14:19:32,16.04,636.80
51,11/09/2023 14:19:42,16.08,5190.40
52,11/09/2023 14:19:52,16.04,4881.92
53,11/09/2023 14:20:02,16.00,5340.16
54,11/09/2023 14:20:12,15.87,5376.00
55,11/09/2023 14:20:22,15.78,4435.20
56,11/09/2023 14:20:32,15.70,5463.04
57,11/09/2023 14:20:42,15.48,5954.56
58,11/09/2023 14:20:52,15.36,5992.96
59,11/09/2023 14:21:02,15.27,6141.44
60,11/09/2023 14:21:12,15.10,6087.68
61,11/09/2023 14:21:22,14.97,6200.32
62,11/09/2023 14:21:32,14.80,6231.04
63,11/09/2023 14:21:42,14.63,6246.40
64,11/09/2023 14:21:52,14.54,6261.76
65,11/09/2023 14:22:02,14.37,6202.88
66,11/09/2023 14:22:12,14.24,6108.16
67,11/09/2023 14:22:22,14.03,5944.32
68,11/09/2023 14:22:32,13.94,5736.96
69,11/09/2023 14:22:42,13.81,5624.32
70,11/09/2023 14:22:52,13.64,5260.80
71,11/09/2023 14:23:02,13.51,5437.44
72,11/09/2023 14:23:12,13.38,5322.24
73,11/09/2023 14:23:22,13.30,5253.12
74,11/09/2023 14:23:32,13.12,5114.88
75,11/09/2023 14:23:42,13.00,4988.16
76,11/09/2023 14:23:52,12.87,4773.12
77,11/09/2023 14:24:02,12.74,4619.52
78,11/09/2023 14:24:12,12.65,4291.84
79,11/09/2023 14:24:22,12.52,4294.40
80,11/09/2023 14:24:32,12.40,4208.64
81,11/09/2023 14:24:42,12.27,4198.40
82,11/09/2023 14:24:52,12.14,4171.52
83,11/09/2023 14:25:02,12.10,4055.04
84,11/09/2023 14:25:12,12.01,4106.24
85,11/09/2023 14:25:22,11.84,4024.32
86,11/09/2023 14:25:32,11.79,3950.08
87,11/09/2023 14:25:42,11.71,3962.88
88,11/09/2023 14:25:52,11.58,3887.36
89,11/09/2023 14:26:02,11.49,1471.36
90,11/09/2023 14:26:12,11.37,668.80
91,11/09/2023 14:26:22,11.28,896.96
92,11/09/2023 14:26:32,11.19,913.92
93,11/09/2023 14:26:42,11.11,1090.88
94,11/09/2023 14:26:52,11.02,1176.96
95,11/09/2023 14:27:02,10.98,927.68
96,11/09/2023 14:27:12,10.89,916.48
97,11/09/2023 14:27:22,10.77,1141.12
98,11/09/2023 14:27:32,10.68,1041.92
99,11/09/2023 14:27:42,10.68,1260.80
100,11/09/2023 14:27:52,10.55,1047.04
101,11/09/2023 14:28:02,10.46,1051.52
102,11/09/2023 14:28:12,10.42,498.88
103,11/09/2023 14:28:22,10.38,305.36
104,11/09/2023 14:28:32,10.29,1356.16
105,11/09/2023 14:28:42,10.29,1467.52
106,11/09/2023 14:28:52,10.21,2104.32
107,11/09/2023 14:29:02,10.12,2333.44
108,11/09/2023 14:29:12,10.12,1560.32
109,11/09/2023 14:29:22,10.04,576.48
