#,Date-Time (EDT),Ch:1 - Temperature   (°C),Ch:2 - Light   (lux)
1,08/28/2023 10:09:54,23.03,8273.92
2,08/28/2023 10:10:09,22.99,8158.72
3,08/28/2023 10:10:24,22.99,7692.80
4,08/28/2023 10:10:39,22.95,10257.92
5,08/28/2023 10:10:54,22.99,12200.96
6,08/28/2023 10:11:09,23.03,12538.88
7,08/28/2023 10:11:24,23.03,13045.76
8,08/28/2023 10:11:39,23.08,13255.68
9,08/28/2023 10:11:54,23.12,13701.12
10,08/28/2023 10:12:09,23.12,14228.48
11,08/28/2023 10:12:24,23.08,13547.52
12,08/28/2023 10:12:39,23.16,14238.72
13,08/28/2023 10:12:54,23.25,14965.76
14,08/28/2023 10:13:09,23.34,15580.16
15,08/28/2023 10:13:24,23.34,15820.80
16,08/28/2023 10:13:39,23.42,15928.32
17,08/28/2023 10:13:54,23.38,9182.72
18,08/28/2023 10:14:09,23.42,9415.68
19,08/28/2023 10:14:24,23.38,19384.32
20,08/28/2023 10:14:39,23.34,6750.72
21,08/28/2023 10:14:54,23.25,11627.52
22,08/28/2023 10:15:09,23.25,8015.36
23,08/28/2023 10:15:24,23.42,12503.04
24,08/28/2023 10:15:39,23.42,16250.88
25,08/28/2023 10:15:54,23.46,17177.60
26,08/28/2023 10:16:09,23.46,24545.28
27,08/28/2023 10:16:24,23.42,9751.04
28,08/28/2023 10:16:39,23.64,28887.04
29,08/28/2023 10:16:54,23.81,29419.52
30,08/28/2023 10:17:09,23.85,30720.00
31,08/28/2023 10:17:24,24.02,32337.92
32,08/28/2023 10:17:39,24.24,33587.20
33,08/28/2023 10:17:54,24.19,26501.12
34,08/28/2023 10:18:09,24.24,27043.84
35,08/28/2023 10:18:24,24.36,28067.84
36,08/28/2023 10:18:39,24.41,24360.96
37,08/28/2023 10:18:54,24.24,10181.12
38,08/28/2023 10:19:09,23.85,19338.24
39,08/28/2023 10:19:24,23.59,30679.04
40,08/28/2023 10:19:39,23.46,11525.12
41,08/28/2023 10:19:54,23.21,16343.04
42,08/28/2023 10:20:09,22.95,14213.12
43,08/28/2023 10:20:24,22.73,1534.08
44,08/28/2023 10:20:39,22.43,5527.04
45,08/28/2023 10:20:54,22.26,8752.64
46,08/28/2023 10:21:09,22.22,19456.00
47,08/28/2023 10:21:24,22.09,16686.08
48,08/28/2023 10:21:39,21.96,2702.08
49,08/28/2023 10:21:54,21.83,9840.64
50,08/28/2023 10:22:09,21.75,714.56
51,08/28/2023 10:22:24,21.53,4014.08
52,08/28/2023 10:22:39,21.45,7024.64
53,08/28/2023 10:22:54,21.32,4253.44
54,08/28/2023 10:23:09,21.23,1920.00
55,08/28/2023 10:23:24,21.15,759.36
56,08/28/2023 10:23:39,21.10,481.76
57,08/28/2023 10:23:54,21.02,64.22
58,08/28/2023 10:24:09,20.98,412.96
59,08/28/2023 10:24:24,20.89,432.64
60,08/28/2023 10:24:39,20.85,469.76
61,08/28/2023 10:24:54,20.80,448.80
62,08/28/2023 10:25:09,20.76,441.12
63,08/28/2023 10:25:24,20.72,457.44
64,08/28/2023 10:25:39,20.68,425.76
65,08/28/2023 10:25:54,20.72,378.72
66,08/28/2023 10:26:09,20.63,455.68
67,08/28/2023 10:26:24,20.55,459.52
68,08/28/2023 10:26:39,20.59,442.88
69,08/28/2023 10:26:54,20.59,433.44
70,08/28/2023 10:27:09,20.55,394.24
71,08/28/2023 10:27:24,20.50,423.20
72,08/28/2023 10:27:39,20.50,426.56
73,08/28/2023 10:27:54,20.46,425.76
74,08/28/2023 10:28:09,20.50,405.28
75,08/28/2023 10:28:24,20.46,361.76
76,08/28/2023 10:28:39,20.46,336.64
77,08/28/2023 10:28:54,20.42,361.76
78,08/28/2023 10:29:09,20.46,382.24
79,08/28/2023 10:29:24,20.46,331.52
80,08/28/2023 10:29:39,20.46,452.32
81,08/28/2023 10:29:54,20.42,424.96
82,08/28/2023 10:30:09,20.42,423.20
83,08/28/2023 10:30:24,20.42,408.64
84,08/28/2023 10:30:39,20.37,428.32
85,08/28/2023 10:30:54,20.37,448.00
86,08/28/2023 10:31:09,20.37,436.80
87,08/28/2023 10:31:24,20.42,466.40
88,08/28/2023 10:31:39,20.37,455.20
89,08/28/2023 10:31:54,20.37,447.20
90,08/28/2023 10:32:09,20.37,174.80
91,08/28/2023 10:32:24,20.33,369.44
92,08/28/2023 10:32:39,20.37,449.76
93,08/28/2023 10:32:54,20.37,391.68
94,08/28/2023 10:33:09,20.37,323.12
95,08/28/2023 10:33:24,20.42,442.88
96,08/28/2023 10:33:39,20.33,418.88
97,08/28/2023 10:33:54,20.33,419.84
98,08/28/2023 10:34:09,20.33,357.44
99,08/28/2023 10:34:24,20.37,371.04
100,08/28/2023 10:34:39,20.37,342.72
101,08/28/2023 10:34:54,20.37,275.92
102,08/28/2023 10:35:09,20.33,329.92
