#,Date-Time (EDT),Ch:1 - Temperature   (°C),Ch:2 - Light   (lux)
1,09/22/2023 09:07:38,22.13,25159.68
2,09/22/2023 09:07:46,22.22,25313.28
3,09/22/2023 09:07:54,22.26,25077.76
4,09/22/2023 09:08:02,22.35,24934.40
5,09/22/2023 09:08:10,22.43,24893.44
6,09/22/2023 09:08:18,22.52,23623.68
7,09/22/2023 09:08:26,22.52,22845.44
8,09/22/2023 09:08:34,22.61,25559.04
9,09/22/2023 09:08:42,22.69,25610.24
10,09/22/2023 09:08:50,22.78,25497.60
11,09/22/2023 09:08:58,22.82,25559.04
12,09/22/2023 09:09:06,22.86,25364.48
13,09/22/2023 09:09:14,22.95,25323.52
14,09/22/2023 09:09:22,23.03,25671.68
15,09/22/2023 09:09:30,23.08,25784.32
16,09/22/2023 09:09:38,23.16,25937.92
17,09/22/2023 09:09:46,23.21,25825.28
18,09/22/2023 09:09:54,23.29,26388.48
19,09/22/2023 09:10:02,23.38,26480.64
20,09/22/2023 09:10:10,23.46,26664.96
21,09/22/2023 09:10:18,23.51,26992.64
22,09/22/2023 09:10:26,23.59,26849.28
23,09/22/2023 09:10:34,23.64,26757.12
24,09/22/2023 09:10:42,23.72,26757.12
25,09/22/2023 09:10:50,23.76,26613.76
26,09/22/2023 09:10:58,23.81,26583.04
27,09/22/2023 09:11:06,23.85,26839.04
28,09/22/2023 09:11:14,23.98,26910.72
29,09/22/2023 09:11:22,24.02,26890.24
30,09/22/2023 09:11:30,24.11,26951.68
31,09/22/2023 09:11:38,24.15,27054.08
32,09/22/2023 09:11:46,24.24,27064.32
33,09/22/2023 09:11:54,24.24,26951.68
34,09/22/2023 09:12:02,24.32,26880.00
35,09/22/2023 09:12:10,24.36,26050.56
36,09/22/2023 09:12:18,24.41,26368.00
37,09/22/2023 09:12:26,24.41,26624.00
38,09/22/2023 09:12:34,24.54,27688.96
39,09/22/2023 09:12:42,24.32,3027.20
40,09/22/2023 09:12:50,24.11,1016.32
41,09/22/2023 09:12:58,23.89,1368.32
42,09/22/2023 09:13:06,23.76,354.88
43,09/22/2023 09:13:14,23.59,1505.28
44,09/22/2023 09:13:22,23.55,4535.04
45,09/22/2023 09:13:30,23.68,16424.96
46,09/22/2023 09:13:38,23.76,6236.16
47,09/22/2023 09:13:46,23.68,3335.68
48,09/22/2023 09:13:54,23.59,14673.92
49,09/22/2023 09:14:02,23.55,4535.04
50,09/22/2023 09:14:10,23.51,17454.08
51,09/22/2023 09:14:18,23.55,9180.16
52,09/22/2023 09:14:26,23.51,6635.52
53,09/22/2023 09:14:34,23.55,1952.64
54,09/22/2023 09:14:42,23.38,1434.88
55,09/22/2023 09:14:50,23.25,1910.40
56,09/22/2023 09:14:58,23.25,6817.28
57,09/22/2023 09:15:06,23.29,4986.88
58,09/22/2023 09:15:14,23.29,4486.40
59,09/22/2023 09:15:22,23.34,3194.88
60,09/22/2023 09:15:30,23.16,5040.64
61,09/22/2023 09:15:38,23.08,1650.56
62,09/22/2023 09:15:46,22.95,2705.92
63,09/22/2023 09:15:54,22.86,1440.00
64,09/22/2023 09:16:02,22.82,2679.04
65,09/22/2023 09:16:10,22.78,2232.32
66,09/22/2023 09:16:18,22.78,29368.32
67,09/22/2023 09:16:26,22.78,5059.84
68,09/22/2023 09:16:34,22.65,1442.56
69,09/22/2023 09:16:42,22.56,367.52
70,09/22/2023 09:16:50,22.48,3495.68
71,09/22/2023 09:16:58,22.35,1294.72
72,09/22/2023 09:17:06,22.26,2504.32
73,09/22/2023 09:17:14,22.18,1355.52
74,09/22/2023 09:17:22,22.05,1735.04
75,09/22/2023 09:17:30,22.01,576.64
76,09/22/2023 09:17:38,21.92,1096.32
77,09/22/2023 09:17:46,21.83,1752.32
78,09/22/2023 09:17:54,21.83,2647.04
79,09/22/2023 09:18:02,21.79,1377.28
80,09/22/2023 09:18:10,21.70,2103.68
81,09/22/2023 09:18:18,21.79,670.72
82,09/22/2023 09:18:26,21.75,923.20
83,09/22/2023 09:18:34,21.62,4910.08
84,09/22/2023 09:18:42,21.53,1287.68
85,09/22/2023 09:18:50,21.49,907.52
86,09/22/2023 09:18:58,21.45,583.52
87,09/22/2023 09:19:06,21.32,185.44
88,09/22/2023 09:19:14,21.23,230.08
89,09/22/2023 09:19:22,21.10,217.68
90,09/22/2023 09:19:30,21.02,118.12
91,09/22/2023 09:19:38,20.89,138.12
92,09/22/2023 09:19:46,20.85,1314.56
93,09/22/2023 09:19:54,20.76,1592.96
94,09/22/2023 09:20:02,20.68,77.82
95,09/22/2023 09:20:10,20.59,269.28
96,09/22/2023 09:20:18,20.55,313.04
97,09/22/2023 09:20:26,20.50,570.72
98,09/22/2023 09:20:34,20.46,3650.56
99,09/22/2023 09:20:42,20.42,6960.64
100,09/22/2023 09:20:50,20.33,104.08
101,09/22/2023 09:20:58,20.33,6021.12
102,09/22/2023 09:21:06,20.33,353.28
103,09/22/2023 09:21:14,20.20,90.04
104,09/22/2023 09:21:22,20.25,72.54
105,09/22/2023 09:21:30,20.20,199.20
106,09/22/2023 09:21:38,20.16,1161.60
107,09/22/2023 09:21:46,20.16,303.44
108,09/22/2023 09:21:54,20.07,6681.60
109,09/22/2023 09:22:02,20.07,1174.72
110,09/22/2023 09:22:10,20.03,2163.20
111,09/22/2023 09:22:18,20.07,1701.76
112,09/22/2023 09:22:26,20.03,1517.44
113,09/22/2023 09:22:34,19.99,645.60
114,09/22/2023 09:22:42,19.90,229.68
115,09/22/2023 09:22:50,19.86,133.64
116,09/22/2023 09:22:58,19.77,431.52
117,09/22/2023 09:23:06,19.69,122.24
118,09/22/2023 09:23:14,19.65,145.84
119,09/22/2023 09:23:22,19.56,158.88
120,09/22/2023 09:23:30,19.52,112.68
121,09/22/2023 09:23:38,19.47,72.00
122,09/22/2023 09:23:46,19.39,52.36
123,09/22/2023 09:23:54,19.35,45.34
124,09/22/2023 09:24:02,19.35,58.46
125,09/22/2023 09:24:10,19.30,83.84
126,09/22/2023 09:24:18,19.26,98.64
127,09/22/2023 09:24:26,19.22,51.06
128,09/22/2023 09:24:34,19.17,49.76
129,09/22/2023 09:24:42,19.17,32.68
130,09/22/2023 09:24:50,19.13,18.30
131,09/22/2023 09:24:58,19.05,34.04
132,09/22/2023 09:25:06,19.05,34.91
133,09/22/2023 09:25:14,19.00,32.74
134,09/22/2023 09:25:22,19.00,34.91
135,09/22/2023 09:25:30,18.96,26.15
136,09/22/2023 09:25:38,18.96,26.59
137,09/22/2023 09:25:46,18.96,64.16
138,09/22/2023 09:25:54,18.87,30.51
139,09/22/2023 09:26:02,18.92,21.15
140,09/22/2023 09:26:10,18.87,23.33
141,09/22/2023 09:26:18,18.83,18.32
142,09/22/2023 09:26:26,18.87,13.07
143,09/22/2023 09:26:34,18.79,12.20
144,09/22/2023 09:26:42,18.79,9.57
145,09/22/2023 09:26:50,18.79,11.12
146,09/22/2023 09:26:58,18.74,8.94
147,09/22/2023 09:27:06,18.74,12.64
148,09/22/2023 09:27:14,18.74,12.20
149,09/22/2023 09:27:22,18.70,12.20
150,09/22/2023 09:27:30,18.70,11.99
151,09/22/2023 09:27:38,18.66,18.76
152,09/22/2023 09:27:46,18.62,6.74
153,09/22/2023 09:27:54,18.57,5.87
154,09/22/2023 09:28:02,18.62,19.19
155,09/22/2023 09:28:10,18.57,7.83
156,09/22/2023 09:28:18,18.57,13.10
157,09/22/2023 09:28:26,18.53,7.42
158,09/22/2023 09:28:34,18.49,3.91
159,09/22/2023 09:28:42,18.57,7.61
160,09/22/2023 09:28:50,18.49,23.11
161,09/22/2023 09:28:58,18.44,5.87
162,09/22/2023 09:29:06,18.49,23.79
163,09/22/2023 09:29:14,18.40,12.20
164,09/22/2023 09:29:22,18.44,13.29
165,09/22/2023 09:29:30,18.40,10.25
166,09/22/2023 09:29:38,18.40,3.26
167,09/22/2023 09:29:46,18.36,4.78
168,09/22/2023 09:29:54,18.36,26.21
169,09/22/2023 09:30:02,18.36,25.09
170,09/22/2023 09:30:10,18.36,8.72
171,09/22/2023 09:30:18,18.32,4.78
172,09/22/2023 09:30:26,18.27,13.73
173,09/22/2023 09:30:34,18.23,1.74
174,09/22/2023 09:30:42,18.23,5.65
175,09/22/2023 09:30:50,18.14,14.41
176,09/22/2023 09:30:58,18.14,7.39
177,09/22/2023 09:31:06,18.10,13.51
178,09/22/2023 09:31:14,18.06,2.82
179,09/22/2023 09:31:22,18.06,2.82
180,09/22/2023 09:31:30,18.06,2.82
181,09/22/2023 09:31:38,17.93,10.03
182,09/22/2023 09:31:46,17.93,7.64
183,09/22/2023 09:31:54,17.97,2.39
184,09/22/2023 09:32:02,17.89,3.04
185,09/22/2023 09:32:10,17.89,2.39
186,09/22/2023 09:32:18,17.89,2.82
187,09/22/2023 09:32:26,17.80,0.87
188,09/22/2023 09:32:34,17.80,44.10
189,09/22/2023 09:32:42,17.80,4.78
190,09/22/2023 09:32:50,17.76,5.87
191,09/22/2023 09:32:58,17.76,4.35
192,09/22/2023 09:33:06,17.72,7.39
193,09/22/2023 09:33:14,17.72,3.69
194,09/22/2023 09:33:22,17.76,6.74
195,09/22/2023 09:33:30,17.72,9.81
196,09/22/2023 09:33:38,17.72,7.20
197,09/22/2023 09:33:46,17.67,2.82
198,09/22/2023 09:33:54,17.67,5.65
199,09/22/2023 09:34:02,17.63,3.04
200,09/22/2023 09:34:10,17.59,1.52
201,09/22/2023 09:34:18,17.59,1.52
202,09/22/2023 09:34:26,17.54,3.26
203,09/22/2023 09:34:34,17.50,69.92
204,09/22/2023 09:34:42,17.54,2.39
205,09/22/2023 09:34:50,17.54,1.95
206,09/22/2023 09:34:58,17.54,0.21
207,09/22/2023 09:35:06,17.50,33.61
208,09/22/2023 09:35:14,17.50,2.39
209,09/22/2023 09:35:22,17.46,2.17
210,09/22/2023 09:35:30,17.46,0.43
211,09/22/2023 09:35:38,17.46,5.43
212,09/22/2023 09:35:46,17.41,0.00
213,09/22/2023 09:35:54,17.41,0.00
214,09/22/2023 09:36:02,17.41,0.00
215,09/22/2023 09:36:10,17.41,0.00
216,09/22/2023 09:36:18,17.41,0.87
217,09/22/2023 09:36:26,17.41,1.74
218,09/22/2023 09:36:34,17.41,1.74
219,09/22/2023 09:36:42,17.37,1.30
220,09/22/2023 09:36:50,17.37,0.65
221,09/22/2023 09:36:58,17.33,4.35
222,09/22/2023 09:37:06,17.41,3.69
223,09/22/2023 09:37:14,17.41,15.71
224,09/22/2023 09:37:22,17.37,3.26
225,09/22/2023 09:37:30,17.33,1.30
226,09/22/2023 09:37:38,17.37,1.08
227,09/22/2023 09:37:46,17.41,5.22
228,09/22/2023 09:37:54,17.37,1.74
229,09/22/2023 09:38:02,17.37,5.65
230,09/22/2023 09:38:10,17.37,2.61
231,09/22/2023 09:38:18,17.41,1.52
232,09/22/2023 09:38:26,17.46,0.65
233,09/22/2023 09:38:34,17.41,3.91
234,09/22/2023 09:38:42,17.37,1.08
235,09/22/2023 09:38:50,17.46,5.43
236,09/22/2023 09:38:58,17.41,1.30
237,09/22/2023 09:39:06,17.41,4.56
238,09/22/2023 09:39:14,17.46,2.61
239,09/22/2023 09:39:22,17.41,3.48
240,09/22/2023 09:39:30,17.46,11.99
241,09/22/2023 09:39:38,17.50,2.61
242,09/22/2023 09:39:46,17.50,3.91
243,09/22/2023 09:39:54,17.50,1.30
244,09/22/2023 09:40:02,17.50,0.65
245,09/22/2023 09:40:10,17.54,0.87
246,09/22/2023 09:40:18,17.50,1069.12
247,09/22/2023 09:40:26,17.50,9.16
248,09/22/2023 09:40:34,17.54,4.35
249,09/22/2023 09:40:42,17.50,6.09
250,09/22/2023 09:40:50,17.54,5.65
251,09/22/2023 09:40:58,17.59,6.52
252,09/22/2023 09:41:06,17.54,6.74
253,09/22/2023 09:41:14,17.50,6.52
