#,Date-Time (EST),Ch:1 - Temperature   (°C),Ch:2 - Light   (lux)
1,11/09/2023 14:12:06,14.58,856.96
2,11/09/2023 14:12:14,14.67,814.40
3,11/09/2023 14:12:22,14.71,740.80
4,11/09/2023 14:12:30,14.80,818.56
5,11/09/2023 14:12:38,14.88,621.60
6,11/09/2023 14:12:46,14.97,60.74
7,11/09/2023 14:12:54,14.97,59.00
8,11/09/2023 14:13:02,15.01,59.00
9,11/09/2023 14:13:10,15.06,51.54
10,11/09/2023 14:13:18,15.10,56.38
11,11/09/2023 14:13:26,15.10,52.90
12,11/09/2023 14:13:34,15.18,55.52
13,11/09/2023 14:13:42,15.18,47.64
14,11/09/2023 14:13:50,15.23,44.16
15,11/09/2023 14:13:58,15.23,37.14
16,11/09/2023 14:14:06,15.27,26.21
17,11/09/2023 14:14:14,15.31,11.55
18,11/09/2023 14:14:22,15.31,48.50
19,11/09/2023 14:14:30,15.36,47.20
20,11/09/2023 14:14:38,15.36,35.40
21,11/09/2023 14:14:46,15.40,55.08
22,11/09/2023 14:14:54,15.44,55.96
23,11/09/2023 14:15:02,15.44,62.96
24,11/09/2023 14:15:10,15.48,62.54
25,11/09/2023 14:15:18,15.57,64.70
26,11/09/2023 14:15:26,15.48,68.62
27,11/09/2023 14:15:34,15.53,66.44
28,11/09/2023 14:15:42,15.57,63.84
29,11/09/2023 14:15:50,15.57,58.12
30,11/09/2023 14:15:58,15.57,80.42
31,11/09/2023 14:16:06,15.61,30.18
32,11/09/2023 14:16:14,15.66,64.70
33,11/09/2023 14:16:22,15.66,66.44
34,11/09/2023 14:16:30,15.70,65.58
35,11/09/2023 14:16:38,15.74,69.06
36,11/09/2023 14:16:46,15.74,75.64
37,11/09/2023 14:16:54,15.74,75.26
38,11/09/2023 14:17:02,15.78,73.46
39,11/09/2023 14:17:10,15.78,70.80
40,11/09/2023 14:17:18,15.83,70.80
41,11/09/2023 14:17:26,15.83,69.50
42,11/09/2023 14:17:34,15.87,69.50
43,11/09/2023 14:17:42,15.87,72.16
44,11/09/2023 14:17:50,15.91,55.08
45,11/09/2023 14:17:58,15.96,69.92
46,11/09/2023 14:18:06,15.96,91.80
47,11/09/2023 14:18:14,16.00,41.98
48,11/09/2023 14:18:22,16.04,76.12
49,11/09/2023 14:18:30,16.04,67.32
50,11/09/2023 14:18:38,16.04,77.00
51,11/09/2023 14:18:46,16.04,45.02
52,11/09/2023 14:18:54,16.04,40.62
53,11/09/2023 14:19:02,16.08,63.84
54,11/09/2023 14:19:10,16.13,62.04
55,11/09/2023 14:19:18,16.13,93.64
56,11/09/2023 14:19:26,16.13,342.08
57,11/09/2023 14:19:34,16.13,2653.44
58,11/09/2023 14:19:42,16.21,5063.68
59,11/09/2023 14:19:50,16.13,4750.08
60,11/09/2023 14:19:58,16.13,5067.52
61,11/09/2023 14:20:06,16.00,5281.28
62,11/09/2023 14:20:14,16.00,5195.52
63,11/09/2023 14:20:22,15.91,2804.48
