#,Date-Time (EDT),Ch:1 - Temperature   (°C),Ch:2 - Light   (lux)
1,09/22/2023 10:55:48,30.59,3681.28
2,09/22/2023 10:55:58,30.46,19230.72
3,09/22/2023 10:56:08,30.33,19942.40
4,09/22/2023 10:56:18,30.20,17336.32
5,09/22/2023 10:56:28,30.11,39915.52
6,09/22/2023 10:56:38,29.98,20234.24
7,09/22/2023 10:56:48,29.90,27955.20
8,09/22/2023 10:56:58,29.81,32675.84
9,09/22/2023 10:57:08,30.07,37386.24
10,09/22/2023 10:57:18,29.73,6837.76
11,09/22/2023 10:57:28,30.07,39321.60
12,09/22/2023 10:57:38,30.28,40232.96
13,09/22/2023 10:57:48,30.24,34416.64
14,09/22/2023 10:57:58,30.37,37068.80
15,09/22/2023 10:58:08,30.41,39413.76
16,09/22/2023 10:58:18,30.50,38021.12
17,09/22/2023 10:58:28,30.63,40130.56
18,09/22/2023 10:58:38,30.67,40560.64
19,09/22/2023 10:58:48,30.80,40478.72
20,09/22/2023 10:58:58,30.84,41287.68
21,09/22/2023 10:59:08,30.93,41564.16
22,09/22/2023 10:59:18,30.93,41205.76
23,09/22/2023 10:59:28,31.01,42557.44
24,09/22/2023 10:59:38,31.06,42741.76
25,09/22/2023 10:59:48,31.10,42844.16
26,09/22/2023 10:59:58,31.19,43704.32
27,09/22/2023 11:00:08,31.27,43089.92
28,09/22/2023 11:00:18,31.27,43827.20
29,09/22/2023 11:00:28,31.31,42455.04
30,09/22/2023 11:00:38,31.40,43642.88
31,09/22/2023 11:00:48,31.44,45465.60
32,09/22/2023 11:00:58,31.53,46080.00
33,09/22/2023 11:01:08,31.61,45998.08
34,09/22/2023 11:01:18,31.66,45998.08
35,09/22/2023 11:01:28,31.79,45281.28
36,09/22/2023 11:01:38,31.87,47042.56
37,09/22/2023 11:01:48,31.87,44830.72
38,09/22/2023 11:01:58,31.92,45875.20
39,09/22/2023 11:02:08,31.96,45383.68
40,09/22/2023 11:02:18,31.96,45649.92
41,09/22/2023 11:02:28,32.00,45957.12
42,09/22/2023 11:02:38,32.04,45301.76
43,09/22/2023 11:02:48,32.13,46735.36
44,09/22/2023 11:02:58,32.13,47677.44
45,09/22/2023 11:03:08,32.13,47738.88
46,09/22/2023 11:03:18,32.17,48599.04
47,09/22/2023 11:03:28,32.30,49377.28
48,09/22/2023 11:03:38,32.30,48701.44
49,09/22/2023 11:03:48,32.30,46817.28
50,09/22/2023 11:03:58,32.34,46551.04
51,09/22/2023 11:04:08,32.30,48414.72
52,09/22/2023 11:04:18,32.30,46223.36
53,09/22/2023 11:04:28,32.30,45649.92
54,09/22/2023 11:04:38,32.22,44974.08
55,09/22/2023 11:04:48,31.92,12800.00
56,09/22/2023 11:04:58,31.44,7244.80
57,09/22/2023 11:05:08,31.10,6906.88
58,09/22/2023 11:05:18,30.89,5021.44
59,09/22/2023 11:05:28,30.50,4913.92
60,09/22/2023 11:05:38,30.24,8552.96
61,09/22/2023 11:05:48,30.11,39997.44
62,09/22/2023 11:05:58,30.24,6433.28
63,09/22/2023 11:06:08,29.94,5271.04
64,09/22/2023 11:06:18,29.64,10050.56
65,09/22/2023 11:06:28,29.47,9960.96
66,09/22/2023 11:06:38,29.26,9548.80
67,09/22/2023 11:06:48,29.00,11443.20
68,09/22/2023 11:06:58,29.17,27258.88
69,09/22/2023 11:07:08,29.47,46612.48
70,09/22/2023 11:07:18,29.51,37826.56
71,09/22/2023 11:07:28,29.34,30627.84
72,09/22/2023 11:07:38,29.34,28241.92
73,09/22/2023 11:07:48,29.30,50401.28
74,09/22/2023 11:07:58,29.38,49254.40
75,09/22/2023 11:08:08,29.51,25446.40
