#,Date-Time (EDT),Ch:1 - Temperature   (°C),Ch:2 - Light   (lux)
1,09/22/2023 10:56:55,31.31,32645.12
2,09/22/2023 10:57:05,31.10,14592.00
3,09/22/2023 10:57:15,30.89,14679.04
4,09/22/2023 10:57:25,30.76,15068.16
5,09/22/2023 10:57:35,30.54,12472.32
6,09/22/2023 10:57:45,30.33,12375.04
7,09/22/2023 10:57:55,30.16,12021.76
8,09/22/2023 10:58:05,30.03,11709.44
9,09/22/2023 10:58:15,29.86,12149.76
10,09/22/2023 10:58:25,29.73,12789.76
11,09/22/2023 10:58:35,29.56,11729.92
12,09/22/2023 10:58:45,29.47,11735.04
13,09/22/2023 10:58:55,29.34,16824.32
14,09/22/2023 10:59:05,29.30,18007.04
15,09/22/2023 10:59:15,29.21,17331.20
16,09/22/2023 10:59:25,29.17,18375.68
17,09/22/2023 10:59:35,29.04,17935.36
18,09/22/2023 10:59:45,28.95,17945.60
19,09/22/2023 10:59:55,28.78,2636.80
20,09/22/2023 11:00:05,28.61,14013.44
21,09/22/2023 11:00:15,29.08,48578.56
22,09/22/2023 11:00:25,29.47,44933.12
23,09/22/2023 11:00:35,28.91,9320.96
24,09/22/2023 11:00:45,29.43,47247.36
25,09/22/2023 11:00:55,29.64,47964.16
26,09/22/2023 11:01:05,29.81,47882.24
27,09/22/2023 11:01:15,29.98,48824.32
28,09/22/2023 11:01:25,30.11,49766.40
29,09/22/2023 11:01:35,29.90,49070.08
30,09/22/2023 11:01:45,30.07,19087.36
31,09/22/2023 11:01:55,30.16,49152.00
32,09/22/2023 11:02:05,30.33,48619.52
33,09/22/2023 11:02:15,30.41,49356.80
34,09/22/2023 11:02:25,30.54,49049.60
35,09/22/2023 11:02:35,30.63,49766.40
36,09/22/2023 11:02:45,30.71,49786.88
37,09/22/2023 11:02:55,30.80,51875.84
38,09/22/2023 11:03:05,30.93,50524.16
39,09/22/2023 11:03:15,30.97,52387.84
40,09/22/2023 11:03:25,31.14,53616.64
41,09/22/2023 11:03:35,31.23,53084.16
42,09/22/2023 11:03:45,31.23,52899.84
43,09/22/2023 11:03:55,31.31,52490.24
44,09/22/2023 11:04:05,31.31,52367.36
45,09/22/2023 11:04:15,31.44,50708.48
46,09/22/2023 11:04:25,31.44,49889.28
47,09/22/2023 11:04:35,31.14,25344.00
