#,Date-Time (EDT),Ch:1 - Temperature   (°C),Ch:2 - Light   (lux)
1,09/22/2023 10:59:53,28.05,17105.92
2,09/22/2023 11:00:03,27.93,13066.24
3,09/22/2023 11:00:13,28.27,48250.88
4,09/22/2023 11:00:23,28.87,48476.16
5,09/22/2023 11:00:33,28.48,3761.92
6,09/22/2023 11:00:43,28.83,46243.84
7,09/22/2023 11:00:53,29.26,47984.64
8,09/22/2023 11:01:03,29.47,47923.20
9,09/22/2023 11:01:13,29.68,49029.12
10,09/22/2023 11:01:23,29.86,49233.92
11,09/22/2023 11:01:33,29.26,13783.04
12,09/22/2023 11:01:43,29.47,50053.12
13,09/22/2023 11:01:53,29.56,49172.48
14,09/22/2023 11:02:03,29.90,47861.76
15,09/22/2023 11:02:13,30.03,48906.24
16,09/22/2023 11:02:23,30.16,48865.28
17,09/22/2023 11:02:33,30.33,49684.48
18,09/22/2023 11:02:43,30.50,49172.48
19,09/22/2023 11:02:53,30.59,51200.00
20,09/22/2023 11:03:03,30.67,50135.04
21,09/22/2023 11:03:13,30.80,50831.36
22,09/22/2023 11:03:23,30.93,52981.76
23,09/22/2023 11:03:33,31.06,53329.92
24,09/22/2023 11:03:43,31.19,53002.24
25,09/22/2023 11:03:53,31.19,51671.04
26,09/22/2023 11:04:03,31.27,51527.68
27,09/22/2023 11:04:13,31.36,50278.40
28,09/22/2023 11:04:23,31.40,49213.44
29,09/22/2023 11:04:33,31.36,38502.40
30,09/22/2023 11:04:43,30.59,3921.92
31,09/22/2023 11:04:53,30.07,2024.96
32,09/22/2023 11:05:03,29.56,5271.04
33,09/22/2023 11:05:13,29.26,3073.28
34,09/22/2023 11:05:23,28.91,1937.92
35,09/22/2023 11:05:33,28.57,2234.88
36,09/22/2023 11:05:43,28.57,4049.92
37,09/22/2023 11:05:53,28.23,5363.20
38,09/22/2023 11:06:03,28.05,9216.00
39,09/22/2023 11:06:13,27.80,7406.08
40,09/22/2023 11:06:23,27.50,8883.20
41,09/22/2023 11:06:33,27.32,5877.76
42,09/22/2023 11:06:43,27.02,4966.40
43,09/22/2023 11:06:53,26.85,12124.16
44,09/22/2023 11:07:03,26.77,16235.52
45,09/22/2023 11:07:13,26.55,9615.36
46,09/22/2023 11:07:23,26.42,5309.44
47,09/22/2023 11:07:33,26.25,8780.80
48,09/22/2023 11:07:43,26.08,8010.24
49,09/22/2023 11:07:53,25.99,9884.16
50,09/22/2023 11:08:03,25.87,8870.40
51,09/22/2023 11:08:13,25.78,6988.80
52,09/22/2023 11:08:23,25.69,6041.60
53,09/22/2023 11:08:33,25.61,4875.52
54,09/22/2023 11:08:43,25.69,6374.40
55,09/22/2023 11:08:53,25.57,2983.68
56,09/22/2023 11:09:03,25.44,3717.12
57,09/22/2023 11:09:13,25.52,14817.28
58,09/22/2023 11:09:23,25.39,2599.04
59,09/22/2023 11:09:33,25.31,7866.88
60,09/22/2023 11:09:43,25.22,5854.72
61,09/22/2023 11:09:53,25.14,892.80
62,09/22/2023 11:10:03,24.79,403.68
63,09/22/2023 11:10:13,24.41,1773.44
64,09/22/2023 11:10:23,24.02,455.04
65,09/22/2023 11:10:33,23.68,547.36
66,09/22/2023 11:10:43,23.42,643.36
67,09/22/2023 11:10:53,23.16,407.68
68,09/22/2023 11:11:03,22.86,763.52
69,09/22/2023 11:11:13,22.65,766.72
70,09/22/2023 11:11:23,22.43,475.84
71,09/22/2023 11:11:33,22.26,1021.12
72,09/22/2023 11:11:43,22.13,1466.24
73,09/22/2023 11:11:53,21.96,1128.64
74,09/22/2023 11:12:03,21.83,1984.64
75,09/22/2023 11:12:13,21.66,3240.96
76,09/22/2023 11:12:23,21.53,19210.24
77,09/22/2023 11:12:33,21.53,15370.24
78,09/22/2023 11:12:43,21.58,25978.88
79,09/22/2023 11:12:53,21.53,5800.96
80,09/22/2023 11:13:03,21.40,10583.04
81,09/22/2023 11:13:13,21.32,5509.12
82,09/22/2023 11:13:23,21.19,3449.60
83,09/22/2023 11:13:33,21.06,4327.68
84,09/22/2023 11:13:43,20.93,562.56
85,09/22/2023 11:13:53,20.85,3549.44
86,09/22/2023 11:14:03,20.76,2536.96
87,09/22/2023 11:14:13,20.72,3298.56
88,09/22/2023 11:14:23,20.63,1813.12
89,09/22/2023 11:14:33,20.50,372.00
90,09/22/2023 11:14:43,20.37,834.24
91,09/22/2023 11:14:53,20.25,744.32
92,09/22/2023 11:15:03,20.16,492.80
93,09/22/2023 11:15:13,20.07,251.60
94,09/22/2023 11:15:23,19.99,251.60
95,09/22/2023 11:15:33,19.86,283.68
96,09/22/2023 11:15:43,19.77,235.76
97,09/22/2023 11:15:53,19.73,147.04
98,09/22/2023 11:16:03,19.65,241.84
99,09/22/2023 11:16:13,19.60,235.76
100,09/22/2023 11:16:23,19.52,321.20
101,09/22/2023 11:16:33,19.47,314.24
102,09/22/2023 11:16:43,19.39,268.08
103,09/22/2023 11:16:53,19.39,141.84
104,09/22/2023 11:17:03,19.35,218.40
105,09/22/2023 11:17:13,19.26,362.24
106,09/22/2023 11:17:23,19.26,342.88
107,09/22/2023 11:17:33,19.22,256.80
108,09/22/2023 11:17:43,19.13,282.80
109,09/22/2023 11:17:53,19.17,335.04
