#,Date-Time (EST),Ch:1 - Temperature   (°C),Ch:2 - Light   (lux)
1,11/05/2023 13:46:48,26.42,43520.00
2,11/05/2023 13:46:56,26.51,43438.08
3,11/05/2023 13:47:04,26.34,1048.96
4,11/05/2023 13:47:12,26.47,43294.72
5,11/05/2023 13:47:20,26.60,41533.44
6,11/05/2023 13:47:28,26.72,43560.96
7,11/05/2023 13:47:36,26.72,43806.72
8,11/05/2023 13:47:44,26.85,43991.04
9,11/05/2023 13:47:52,26.90,43950.08
10,11/05/2023 13:48:00,26.85,43950.08
11,11/05/2023 13:48:08,26.94,43950.08
12,11/05/2023 13:48:16,26.94,43929.60
13,11/05/2023 13:48:24,26.90,43909.12
14,11/05/2023 13:48:32,26.94,43642.88
15,11/05/2023 13:48:40,26.94,43642.88
16,11/05/2023 13:48:48,26.94,43601.92
17,11/05/2023 13:48:56,26.98,43479.04
18,11/05/2023 13:49:04,27.02,43274.24
19,11/05/2023 13:49:12,27.02,43253.76
20,11/05/2023 13:49:20,27.02,43048.96
21,11/05/2023 13:49:28,26.98,43233.28
22,11/05/2023 13:49:36,27.02,42700.80
23,11/05/2023 13:49:44,26.98,41891.84
24,11/05/2023 13:49:52,26.94,39147.52
25,11/05/2023 13:50:00,26.94,38410.24
26,11/05/2023 13:50:08,26.98,41369.60
27,11/05/2023 13:50:16,26.90,43130.88
28,11/05/2023 13:50:24,26.94,43008.00
29,11/05/2023 13:50:32,27.02,42987.52
30,11/05/2023 13:50:40,26.98,42926.08
31,11/05/2023 13:50:48,26.98,42557.44
32,11/05/2023 13:50:56,27.02,42659.84
33,11/05/2023 13:51:04,27.02,42618.88
34,11/05/2023 13:51:12,27.02,42577.92
35,11/05/2023 13:51:20,27.07,42516.48
36,11/05/2023 13:51:28,27.07,42536.96
37,11/05/2023 13:51:36,27.11,42639.36
38,11/05/2023 13:51:44,27.07,42618.88
39,11/05/2023 13:51:52,27.07,42475.52
40,11/05/2023 13:52:00,27.07,42516.48
41,11/05/2023 13:52:08,27.02,42455.04
42,11/05/2023 13:52:16,27.07,42147.84
43,11/05/2023 13:52:24,27.11,42475.52
44,11/05/2023 13:52:32,27.07,42434.56
45,11/05/2023 13:52:40,27.02,42639.36
46,11/05/2023 13:52:48,27.02,42496.00
47,11/05/2023 13:52:56,26.85,17413.12
48,11/05/2023 13:53:04,26.25,14090.24
49,11/05/2023 13:53:12,25.78,14443.52
50,11/05/2023 13:53:20,25.31,3133.44
51,11/05/2023 13:53:28,25.01,20162.56
52,11/05/2023 13:53:36,25.01,26112.00
53,11/05/2023 13:53:44,24.97,66887.68
54,11/05/2023 13:53:52,25.05,36229.12
55,11/05/2023 13:54:00,24.84,4381.44
56,11/05/2023 13:54:08,24.19,12902.40
57,11/05/2023 13:54:16,23.64,1383.68
58,11/05/2023 13:54:24,23.08,5434.88
59,11/05/2023 13:54:32,22.48,4834.56
60,11/05/2023 13:54:40,22.01,1724.80
61,11/05/2023 13:54:48,21.58,3973.12
