#,Date-Time (EDT),Ch:1 - Temperature   (°C),Ch:2 - Light   (lux)
1,09/01/2023 08:51:18,22.05,7106.56
2,09/01/2023 08:51:33,21.96,6190.08
3,09/01/2023 08:51:48,21.79,6766.08
4,09/01/2023 08:52:03,21.70,6760.96
5,09/01/2023 08:52:18,21.62,6842.88
6,09/01/2023 08:52:33,21.45,6433.28
7,09/01/2023 08:52:48,21.32,6932.48
8,09/01/2023 08:53:03,21.23,7390.72
9,09/01/2023 08:53:18,21.10,6586.88
10,09/01/2023 08:53:33,21.06,6208.00
11,09/01/2023 08:53:48,20.93,5752.32
12,09/01/2023 08:54:03,20.85,6049.28
13,09/01/2023 08:54:18,20.72,5936.64
14,09/01/2023 08:54:33,20.63,5821.44
15,09/01/2023 08:54:48,20.50,5934.08
16,09/01/2023 08:55:03,20.46,6010.88
17,09/01/2023 08:55:18,20.37,6873.60
18,09/01/2023 08:55:33,20.25,7447.04
19,09/01/2023 08:55:48,20.20,7411.20
20,09/01/2023 08:56:03,20.12,7011.84
21,09/01/2023 08:56:18,20.07,7127.04
22,09/01/2023 08:56:33,20.37,46059.52
23,09/01/2023 08:56:48,20.89,46182.40
24,09/01/2023 08:57:03,21.36,45875.20
25,09/01/2023 08:57:18,21.70,46039.04
26,09/01/2023 08:57:33,22.05,45936.64
27,09/01/2023 08:57:48,22.43,45936.64
28,09/01/2023 08:58:03,22.78,45936.64
29,09/01/2023 08:58:18,23.08,46059.52
30,09/01/2023 08:58:33,23.38,46551.04
31,09/01/2023 08:58:48,23.64,46776.32
32,09/01/2023 08:59:03,23.94,46223.36
33,09/01/2023 08:59:18,24.15,45547.52
34,09/01/2023 08:59:33,24.36,46141.44
35,09/01/2023 08:59:48,24.58,46571.52
36,09/01/2023 09:00:03,24.75,46489.60
37,09/01/2023 09:00:18,24.97,46489.60
38,09/01/2023 09:00:33,25.22,46940.16
39,09/01/2023 09:00:48,25.39,47185.92
40,09/01/2023 09:01:03,25.57,47288.32
41,09/01/2023 09:01:18,25.78,47431.68
42,09/01/2023 09:01:33,25.82,47534.08
43,09/01/2023 09:01:48,26.04,46448.64
44,09/01/2023 09:02:03,26.21,46673.92
45,09/01/2023 09:02:18,27.07,65761.28
