sample,spot,cage,sample_id,Apo_Sym,Date_Deployed,Date_Collected,Notes,Present_in_lab,6.30.23,7.5.23,7.12.23,7.19.23,8.1.23,8.9.23,8.14.23,8.23.23,8.28.23,9.6.23,9.13.23,9.20.23,9.29.23,10.3.23,10.10.23
183,A1,D1,D1-A1-183,?,,2023.10.10,,NA,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy
68,A2,D1,D1-A2-68,?,,2023.10.10,,NA,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy
8,A3,D1,D1-A3-8,APO,2023.06.21,2023.10.10,,NA,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy
131,A4,D1,D1-A4-131,APO,2023.06.23,2023.10.10,,NA,healthy,healthy,healthy,healthy,healthy,dead,sick,healthy,sick,healthy,healthy,sick,healthy,healthy,healthy
226,B1,D1,D1-B1-226,APO,2023.06.21,2023.10.10,,NA,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy,empty-moved?,empty-moved?,empty-moved?,empty-moved?,empty,healthy
2,B2,D1,D1-B2-2,APO,2023.06.21,2023.10.10,,NA,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy
94,B3,D1,D1-B3-94,APO,2023.06.21,2023.10.10,,NA,healthy,healthy,empty,sick,dead,dead,dead,dead,dead,dead,dead,healthy,dead,healthy,healthy
32,B4,D1,D1-B4-32,APO,2023.06.23,2023.10.10,,NA,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy
209,C1,D1,D1-C1-209,SYM,2023.06.21,2023.10.10,,NA,healthy,healthy,healthy,healthy,healthy,healthy,healthy,sick,healthy,healthy,healthy,healthy,healthy,healthy,healthy
184,C2,D1,D1-C2-184,SYM,2023.06.21,2023.10.10,,NA,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy
114,C3,D1,D1-C3-114,SYM,2023.06.21,2023.10.10,,NA,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy
222,C4,D1,D1-C4-222,SYM,2023.06.23,2023.10.10,,NA,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy
206,D1,D1,D1-D1-206,SYM,2023.06.21,2023.10.10,,NA,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy
54,D2,D1,D1-D2-54,SYM,2023.06.21,2023.10.10,,NA,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy,sick,healthy,healthy,healthy,healthy,healthy
95,D3,D1,D1-D3-95,SYM,2023.06.21,2023.10.10,,NA,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy
NA,D4,D1,D1-D4-NA,NA,NA,NA,NA,NA,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,healthy,empty
79,A1,D2,D2-A1-79,APO,2023.06.21,2023.10.10,,NA,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy
225,A2,D2,D2-A2-225,APO,2023.06.21,2023.10.10,,NA,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy
188,A3,D2,D2-A3-188,APO,2023.06.21,2023.10.10,,NA,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy
139,A4,D2,D2-A4-139,APO,2023.06.23,2023.10.10,,NA,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy
91,B1,D2,D2-B1-91,APO,2023.06.21,2023.10.10,,NA,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy
