sample,spot,cage,sample_id,apo_sym,date_deployed,date_collected,treatment,Notes,Present_in_lab,survival_6.30.23,survival_7.5.23,survival_7.12.23,survival_7.19.23,survival_8.1.23,survival_8.9.23,survival_8.14.23,survival_8.23.23,survival_8.28.23,survival_9.6.23,survival_9.13.23,survival_9.20.23,survival_9.29.23,survival_10.3.23,survival_10.10.23,end_status,date_mortality,days_alive
183,A1,D1,D1-A1-183,NA,2023.06.23,2023.10.10,deep,,y,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Alive,2023.10.10,110
68,A2,D1,D1-A2-68,NA,2023.06.23,2023.10.10,deep,,y,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Alive,2023.10.10,110
8,A3,D1,D1-A3-8,APO,2023.06.21,2023.10.10,deep,,y,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Alive,2023.10.10,112
131,A4,D1,D1-A4-131,APO,2023.06.23,2023.10.10,deep,,y,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Alive,2023.10.10,110
226,B1,D1,D1-B1-226,APO,2023.06.21,2023.10.10,deep,this one spent some time in a different hole but was returned ,y,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Alive,2023.10.10,111
2,B2,D1,D1-B2-2,APO,2023.06.21,2023.10.10,deep,,y,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Alive,2023.10.10,112
32,B4,D1,D1-B4-32,APO,2023.06.23,2023.10.10,deep,,y,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Alive,2023.10.10,110
209,C1,D1,D1-C1-209,SYM,2023.06.21,2023.10.10,deep,,y,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Alive,2023.10.10,112
184,C2,D1,D1-C2-184,SYM,2023.06.21,2023.10.10,deep,,y,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Alive,2023.10.10,112
114,C3,D1,D1-C3-114,SYM,2023.06.21,2023.10.10,deep,,y,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Alive,2023.10.10,112
222,C4,D1,D1-C4-222,SYM,2023.06.23,2023.10.10,deep,,y,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Alive,2023.10.10,110
206,D1,D1,D1-D1-206,SYM,2023.06.21,2023.10.10,deep,,y,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Alive,2023.10.10,112
54,D2,D1,D1-D2-54,SYM,2023.06.21,2023.10.10,deep,,y,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Alive,2023.10.10,112
95,D3,D1,D1-D3-95,SYM,2023.06.21,2023.10.10,deep,,y,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Alive,2023.10.10,112
79,A1,D2,D2-A1-79,APO,2023.06.21,2023.10.10,deep,,y,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Alive,2023.10.10,112
225,A2,D2,D2-A2-225,APO,2023.06.21,2023.10.10,deep,,y,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Alive,2023.10.10,112
188,A3,D2,D2-A3-188,APO,2023.06.21,2023.10.10,deep,,y,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Alive,2023.10.10,112
139,A4,D2,D2-A4-139,APO,2023.06.23,2023.10.10,deep,,y,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Alive,2023.10.10,110
91,B1,D2,D2-B1-91,APO,2023.06.21,2023.10.10,deep,,y,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Alive,2023.10.10,112
30,B2,D2,D2-B2-30,APO,2023.06.21,2023.10.10,deep,,y,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Alive,2023.10.10,112
103,B3,D2,D2-B3-103,APO,2023.06.21,2023.10.10,deep,,y,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Alive,2023.10.10,112
100,B4,D2,D2-B4-100,APO,2023.06.23,2023.10.10,deep,,y,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Alive,2023.10.10,110
36,C1,D2,D2-C1-36,SYM,2023.06.21,2023.10.10,deep,,y,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Alive,2023.10.10,112
15,C2,D2,D2-C2-15,SYM,2023.06.21,2023.10.10,deep,,y,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Alive,2023.10.10,112
128,C3,D2,D2-C3-128,SYM,2023.06.21,2023.10.10,deep,,y,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Alive,2023.10.10,112
145,C4,D2,D2-C4-145,SYM,2023.06.21,2023.10.10,deep,,y,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Alive,2023.10.10,112
196,D1,D2,D2-D1-196,SYM,2023.06.21,2023.10.10,deep,,y,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Alive,2023.10.10,112
194,D2,D2,D2-D2-194,SYM,2023.06.23,2023.10.10,deep,,y,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Alive,2023.10.10,110
23,D3,D2,D2-D3-23,SYM,2023.06.21,2023.10.10,deep,,y,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Alive,2023.10.10,112
5,D4,D2,D2-D4-5,SYM,2023.06.23,2023.10.10,deep,,y,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Alive,2023.10.10,110
161,A1,D4,D4-A1-161,APO,2023.06.21,2023.10.10,deep,,y,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Alive,2023.10.10,112
60,A2,D4,D4-A2-60,APO,2023.06.21,2023.10.10,deep,,y,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Alive,2023.10.10,112
163,A4,D4,D4-A4-163,APO,2023.06.21,2023.10.10,deep,,y,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Alive,2023.10.10,112
137,B1,D4,D4-B1-137,APO,2023.06.23,2023.10.10,deep,,y,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Alive,2023.10.10,110
214,B3,D4,D4-B3-214,APO,2023.06.21,2023.10.10,deep,,y,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Alive,2023.10.10,112
70,B4,D4,D4-B4-70,APO,2023.06.21,2023.10.10,deep,,y,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Alive,2023.10.10,112
65,C1,D4,D4-C1-65,SYM,2023.06.21,2023.10.10,deep,,y,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Alive,2023.10.10,112
1,C2,D4,D4-C2-1,SYM,2023.06.21,2023.10.10,deep,,y,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Alive,2023.10.10,112
185,C3,D4,D4-C3-185,SYM,2023.06.21,2023.10.10,deep,,y,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Alive,2023.10.10,112
110,C4,D4,D4-C4-110,SYM,2023.06.23,2023.10.10,deep,,y,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Alive,2023.10.10,110
123,D1,D4,D4-D1-123,SYM,2023.06.21,2023.10.10,deep,,y,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Alive,2023.10.10,112
207,D2,D4,D4-D2-207,SYM,2023.06.21,2023.10.10,deep,,y,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Alive,2023.10.10,112
119,D3,D4,D4-D3-119,SYM,2023.06.21,2023.10.10,deep,,y,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Alive,2023.10.10,112
90,D4,D4,D4-D4-90,SYM,2023.06.23,2023.10.10,deep,,y,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Alive,2023.10.10,110
39,A1,D5,D5-A1-39,APO,2023.06.21,2023.10.10,deep,,y,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Alive,2023.10.10,112
