sample,Apo_Sym,Date_Deployed,Notes
1,SYM,2023.06.21,
2,APO,2023.06.21,
3,APO,2023.06.23,
4,APO,2023.06.23,
5,SYM,2023.06.23,
6,SYM,2023.06.21,
7,SYM,2023.06.21,
8,APO,2023.06.21,
9,APO,2023.06.21,
10,APO,2023.06.21,
11,APO,2023.06.21,
12,APO,2023.06.23,
13,SYM,2023.06.21,
14,APO,2023.06.21,
15,SYM,2023.06.21,
16,APO,2023.06.21,LOST
17,APO,2023.06.21,
18,APO,2023.06.21,
19,APO,2023.06.21,
22,SYM,2023.06.21,
23,SYM,2023.06.21,
24,APO,2023.06.23,
25,SYM,2023.06.21,
26,APO,2023.06.21,
29,?,,
30,APO,2023.06.21,
31,APO,2023.06.21,
32,APO,2023.06.23,
33,SYM,2023.06.21,
34,SYM,2023.06.21,
36,SYM,2023.06.21,
39,APO,2023.06.21,
40,SYM,2023.06.23,
41,SYM,2023.06.21,
42,SYM,2023.06.21,
43,APO,2023.06.21,
44,APO,2023.06.23,
45,SYM,2023.06.21,
46,APO,2023.06.21,
47,SYM,2023.06.21,
49,SYM,2023.06.21,
50,SYM,2023.06.21,
51,APO,2023.06.21,
53,APO,2023.06.23,
54,SYM,2023.06.21,
55,SYM,2023.06.21,
56,SYM,2023.06.21,
57,SYM,2023.06.21,
60,APO,2023.06.21,
61,SYM,2023.06.21,
62,APO,2023.06.23,
63,APO,2023.06.21,
64,APO,2023.06.21,
65,SYM,2023.06.21,
67,APO,2023.06.21,
68,?,,
70,APO,2023.06.21,
71,APO,2023.06.23,
72,SYM,2023.06.21,
73,APO,2023.06.21,
74,SYM,2023.06.23,
75,APO,2023.06.23,LOST
77,APO,2023.06.23,LOST
78,SYM,2023.06.21,
79,APO,2023.06.21,
80,APO,2023.06.21,LOST
81,SYM,2023.06.21,
82,SYM,2023.06.21,
83,APO,2023.06.21,
84,SYM,2023.06.21,
86,SYM,2023.06.21,
87,SYM,2023.06.21,
88,SYM,2023.06.21,
89,APO,2023.06.21,
90,SYM,2023.06.23,
91,APO,2023.06.21,
92,APO,2023.06.21,LOST
94,APO,2023.06.21,
95,SYM,2023.06.21,
96,SYM,2023.06.21,
97,SYM,2023.06.21,
98,APO,2023.06.21,
99,SYM,2023.06.21,
100,APO,2023.06.23,
102,SYM,2023.06.23,
103,APO,2023.06.21,
104,APO,2023.06.23,
105,SYM,2023.06.21,
106,APO,2023.06.23,
107,APO,2023.06.23,
108,APO,2023.06.21,
109,APO,2023.06.21,
110,SYM,2023.06.23,
114,SYM,2023.06.21,
116,APO,2023.06.23,
117,APO,2023.06.21,
118,SYM,2023.06.23,
119,SYM,2023.06.21,
120,APO,2023.06.23,
121,SYM,2023.06.21,
122,APO,2023.06.23,
123,SYM,2023.06.21,
124,APO,2023.06.21,
125,SYM,2023.06.21,
126,APO,2023.06.21,
127,APO,2023.06.21,
128,SYM,2023.06.21,
131,APO,2023.06.23,
132,SYM,2023.06.21,
133,APO,2023.06.23,
134,SYM,2023.06.23,
136,SYM,2023.06.21,
137,APO,2023.06.23,
138,SYM,2023.06.21,
139,APO,2023.06.23,
141,SYM,2023.06.21,
142,SYM,2023.06.21,
143,SYM,2023.06.21,
145,SYM,2023.06.21,
146,SYM,2023.06.21,
147,APO,2023.06.21,
149,APO,2023.06.21,
150,SYM,2023.06.21,
151,APO,2023.06.21,
152,APO,2023.06.21,
153,APO,2023.06.21,
154,APO,2023.06.21,
155,APO,2023.06.23,
156,SYM,2023.06.23,
157,SYM,2023.06.21,
158,SYM,2023.06.21,
160,APO,2023.06.23,
161,APO,2023.06.21,
162,SYM,2023.06.21,
163,APO,2023.06.21,
166,SYM,2023.06.21,
167,APO,2023.06.21,
168,SYM,2023.06.21,
169,SYM,2023.06.21,
170,APO,2023.06.23,
171,APO,2023.06.23,
172,SYM,2023.06.21,
173,SYM,2023.06.21,
174,SYM,2023.06.21,
176,APO,2023.06.21,
177,SYM,2023.06.21,
178,APO,2023.06.23,
179,SYM,2023.06.21,
180,APO,2023.06.21,
181,SYM,2023.06.21,
182,APO,2023.06.21,
183,?,,
184,SYM,2023.06.21,
185,SYM,2023.06.21,
186,APO,2023.06.21,
187,SYM,2023.06.21,
188,APO,2023.06.21,
189,SYM,2023.06.21,
190,APO,2023.06.21,
192,APO,2023.06.21,
193,APO,2023.06.21,
194,SYM,2023.06.23,
195,SYM,2023.06.21,
196,SYM,2023.06.21,
198,APO,2023.06.23,
199,APO,2023.06.23,
200,APO,2023.06.21,
201,SYM,2023.06.21,
202,APO,2023.06.23,
203,SYM,2023.06.21,
204,APO,2023.06.21,
206,SYM,2023.06.21,
207,SYM,2023.06.21,
208,APO,2023.06.23,
209,SYM,2023.06.21,
210,APO,2023.06.21,
211,SYM,2023.06.23,
213,SYM,2023.06.21,
214,APO,2023.06.21,
216,APO,2023.06.21,
217,SYM,2023.06.23,
219,SYM,2023.06.21,
220,APO,2023.06.23,
221,SYM,2023.06.21,
222,SYM,2023.06.23,
224,APO,2023.06.21,
225,APO,2023.06.21,
226,APO,2023.06.21,
227,APO,2023.06.21,
230,APO,2023.06.23,
231,SYM,2023.06.21,
232,APO,2023.06.21,
233,SYM,2023.06.21,
