,sample,spot,cage,sample_id,Apo_Sym,Date_Deployed,Date_Collected,Notes,Present_in_lab
152,183,A1,D1,D1-A1-183,?,,2023.10.10,,
56,68,A2,D1,D1-A2-68,?,,2023.10.10,,
8,8,A3,D1,D1-A3-8,APO,2023.06.21,2023.10.10,,
108,131,A4,D1,D1-A4-131,APO,2023.06.23,2023.10.10,,
188,226,B1,D1,D1-B1-226,APO,2023.06.21,2023.10.10,,
2,2,B2,D1,D1-B2-2,APO,2023.06.21,2023.10.10,,
78,94,B3,D1,D1-B3-94,APO,2023.06.21,2023.10.10,,
28,32,B4,D1,D1-B4-32,APO,2023.06.23,2023.10.10,,
175,209,C1,D1,D1-C1-209,SYM,2023.06.21,2023.10.10,,
153,184,C2,D1,D1-C2-184,SYM,2023.06.21,2023.10.10,,
94,114,C3,D1,D1-C3-114,SYM,2023.06.21,2023.10.10,,
185,222,C4,D1,D1-C4-222,SYM,2023.06.23,2023.10.10,,
172,206,D1,D1,D1-D1-206,SYM,2023.06.21,2023.10.10,,
45,54,D2,D1,D1-D2-54,SYM,2023.06.21,2023.10.10,,
79,95,D3,D1,D1-D3-95,SYM,2023.06.21,2023.10.10,,
197,NA,D4,D1,D1-D4-NA,NA,NA,NA,NA,
65,79,A1,D2,D2-A1-79,APO,2023.06.21,2023.10.10,,
187,225,A2,D2,D2-A2-225,APO,2023.06.21,2023.10.10,,
157,188,A3,D2,D2-A3-188,APO,2023.06.21,2023.10.10,,
115,139,A4,D2,D2-A4-139,APO,2023.06.23,2023.10.10,,
76,91,B1,D2,D2-B1-91,APO,2023.06.21,2023.10.10,,
26,30,B2,D2,D2-B2-30,APO,2023.06.21,2023.10.10,,
86,103,B3,D2,D2-B3-103,APO,2023.06.21,2023.10.10,,
84,100,B4,D2,D2-B4-100,APO,2023.06.23,2023.10.10,,
31,36,C1,D2,D2-C1-36,SYM,2023.06.21,2023.10.10,,
15,15,C2,D2,D2-C2-15,SYM,2023.06.21,2023.10.10,,
107,128,C3,D2,D2-C3-128,SYM,2023.06.21,2023.10.10,,
119,145,C4,D2,D2-C4-145,SYM,2023.06.21,2023.10.10,,
164,196,D1,D2,D2-D1-196,SYM,2023.06.21,2023.10.10,,
162,194,D2,D2,D2-D2-194,SYM,2023.06.23,2023.10.10,,
21,23,D3,D2,D2-D3-23,SYM,2023.06.21,2023.10.10,,
5,5,D4,D2,D2-D4-5,SYM,2023.06.23,2023.10.10,,
