Sample,Apo_Sym,Date_Deployed,Notes,spot,cage,X6.30.23,X7.5.23,X7.12.23,X7.19.23,X8.1.23,X8.9.23,X8.14.23,X8.23.23,8.28.23
1,APO,2023.06.21,LOST,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2,APO,2023.06.23,LOST,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,APO,2023.06.23,LOST,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4,APO,2023.06.21,LOST,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5,APO,2023.06.21,LOST,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6,SYM,2023.06.21,,C2,D4,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy
7,APO,2023.06.21,,B2,D1,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy
8,APO,2023.06.23,,B3,S2,healthy,healthy,healthy,healthy,healthy,sick,healthy,dead,dead
9,APO,2023.06.23,,B3,S5,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy
10,SYM,2023.06.23,,D4,D2,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy
11,SYM,2023.06.21,,D1,G4,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy
12,SYM,2023.06.21,,C1,D5,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy
13,APO,2023.06.21,,A3,D1,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy
14,APO,2023.06.21,,B1,S1,sick,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy
15,APO,2023.06.21,,A3,D4,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy,dead
16,APO,2023.06.21,,B2,D5,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy
17,APO,2023.06.23,,B4,G4,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy
18,SYM,2023.06.21,,C4,G1,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy
19,APO,2023.06.21,,A4,G5,healthy,healthy,healthy,healthy,healthy,sick,healthy,healthy,healthy
20,SYM,2023.06.21,,C2,D2,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy
21,APO,2023.06.21,,B1,G4,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy
22,APO,2023.06.21,,B3,S1,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy
23,APO,2023.06.21,,B3,G5,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy
24,SYM,2023.06.21,,D4,G1,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy
25,SYM,2023.06.21,,D3,D2,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy
26,APO,2023.06.23,,B2,G1,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy
27,SYM,2023.06.21,,D3,G5,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy
28,APO,2023.06.21,,D2,G1,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy
29,?,?,,A2,S1,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy,sick
30,APO,2023.06.21,,B2,D2,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy
31,APO,2023.06.21,,A4,S5,healthy,sick,healthy,healthy,healthy,sick,healthy,healthy,healthy
32,APO,2023.06.23,,B4,D1,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy
